mission,mission_name,category,start,end,low,high,police,basis,evidence,source
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1957-01,1957-02,500,1007,0,bounded,Nearly 500 officers and men landed from HMCS Magnificent on 12 January 1957; 56 Reconnaissance Squadron followed in March,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1957-03,1957-12,1007,1172,0,reported,"DND: 1,007 all ranks with the arrival of the reconnaissance squadron in March 1957; UN: 1,172 (113 officers, 1,059 other ranks) on 15 September 1957 (A/3694)",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html | https://undocs.org/A/3694
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1958-01,1958-07,975,1172,0,bounded,"1,172 (September 1957, A/3694); 975 (83 officers, 892 other ranks) on 15 August 1958 (A/3899)",https://undocs.org/A/3694 | https://undocs.org/A/3899
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1958-08,1959-07,975,983,0,reported,"975 on 15 August 1958 (A/3899); 983 (86 officers, 897 other ranks) on 1 August 1959 (A/4210)",https://undocs.org/A/3899 | https://undocs.org/A/4210
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1959-08,1960-08,932,983,0,reported,"983 (August 1959, A/4210); 932 (87 officers, 845 other ranks) in the 1960 report (A/4486)",https://undocs.org/A/4210 | https://undocs.org/A/4486
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1960-09,1963-09,930,940,0,inferred,"932 (1960, A/4486); 940 on 31 July 1963 (A/5494); the 1961 and 1962 tables (A/4857, A/5172) are illegible in the scanned copies",https://undocs.org/A/4486 | https://undocs.org/A/5494
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1963-10,1966-02,804,940,0,bounded,"DND: the October 1963 amalgamation into Canadian Base Unit (UNEF) reduced the Army commitment to 780; UN: 940 (July 1963, A/5494) and 804 (July 1966, A/6406, after the reconnaissance squadron withdrew on 20 February 1966)",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html | https://undocs.org/A/5494 | https://undocs.org/A/6406
UNEF I,"UN Emergency Force, Egypt (Operation RAPID STEP)",UN-led,1966-03,1967-05,795,804,0,reported,"804 on 31 July 1966 (A/6406); 795 at the withdrawal in May 1967 (A/6672); the contingent was evacuated on 29 to 31 May 1967",https://undocs.org/A/6406 | https://undocs.org/A/6672 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/rapid-step.html
ONUC,UN Operation in the Congo (57 Canadian Signal Unit),UN-led,1960-08,1960-09,100,275,0,bounded,First signallers arrived 12 August 1960; the main body over the next two months brought the unit to 275,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html
ONUC,UN Operation in the Congo (57 Canadian Signal Unit),UN-led,1960-10,1961-08,275,300,0,reported,275 signallers plus the permanent RCAF element (seven officers and sixteen airmen); about 300 in the Congo at any one time,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html
ONUC,UN Operation in the Congo (57 Canadian Signal Unit),UN-led,1961-09,1961-10,298,371,0,reported,The September 1961 C-119 detachment added 73 officers and men for a few weeks,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html
ONUC,UN Operation in the Congo (57 Canadian Signal Unit),UN-led,1961-11,1964-03,275,300,0,reported,About 300 in the country at any one time; the last rotation was on 22 March 1964,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html
ONUC,UN Operation in the Congo (57 Canadian Signal Unit),UN-led,1964-04,1964-06,100,300,0,bounded,"Repatriation flights on 27 May and 17, 27 and 30 June 1964",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/operation-des-nations-unies-congo.html
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1964-03,1964-05,1100,1122,0,reported,"About 1,100 initially (DND); 1,122 by 8 June 1964 (S/5764)",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/608889
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1964-06,1964-12,1122,1146,0,reported,"1,122 (June 1964, S/5764); 1,146 (December 1964, S/6102)",https://digitallibrary.un.org/record/608889 | https://digitallibrary.un.org/record/539124
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1965-01,1965-12,994,1146,0,bounded,"1,146 (December 1964, S/6102); 994 (8 December 1965, S/7001)",https://digitallibrary.un.org/record/539124 | https://digitallibrary.un.org/record/531060
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1966-01,1967-06,880,994,0,bounded,"994 (December 1965, S/7001); 880 (64 HQ and military police, 705 battalion and reconnaissance squadron, 111 contingent HQ) in June 1967 (S/7969)",https://digitallibrary.un.org/record/531060 | https://digitallibrary.un.org/record/521179
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1967-07,1968-03,880,885,0,reported,"880 (June 1967, S/7969); 885 (March 1968, S/8446); DND: about 900 in November 1967",https://digitallibrary.un.org/record/521179 | https://digitallibrary.un.org/record/519122 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1968-04,1969-06,574,885,0,bounded,"885 (March 1968, S/8446); 574 (54 HQ and military police, 462 battalion, 58 contingent HQ) in June 1969 (S/9233)",https://digitallibrary.un.org/record/519122 | https://digitallibrary.un.org/record/508826
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1969-07,1971-05,574,581,0,reported,"574 (June 1969, S/9233); 581 (May 1971, S/10199)",https://digitallibrary.un.org/record/508826 | https://digitallibrary.un.org/record/490953
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1971-06,1973-12,480,581,0,bounded,"581 (May 1971, S/10199); DND: 480 early in 1974",https://digitallibrary.un.org/record/490953 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1974-01,1974-07,480,480,0,reported,"480 early in 1974 (DND), before the July 1974 Turkish intervention",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1974-08,1975-06,859,950,0,reported,"DND: a peak of 950 after the 1974 intervention; 859 (37 HQ and military police, 822 Canadian Airborne Regiment) in December 1974 (S/11568); Canada withdrew part of the reinforcement in the first half of 1975 (S/14275)",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/489202 | https://digitallibrary.un.org/record/133070
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1975-07,1976-05,515,859,0,bounded,"859 (December 1974, S/11568); 515 by 5 June 1976 (S/12093)",https://digitallibrary.un.org/record/489202 | https://digitallibrary.un.org/record/224979
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1976-06,1987-06,514,515,0,reported,"515 (42 HQ and military police, 473 in 2 PPCLI) on 5 June 1976 (S/12093); 514 in November 1980 (S/14275); 515 in June 1982 (S/15149) and May 1985 (S/17227); DND: 515 in early 1987",https://digitallibrary.un.org/record/224979 | https://digitallibrary.un.org/record/133070 | https://digitallibrary.un.org/record/131468 | https://digitallibrary.un.org/record/83848 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1987-07,1987-09,515,575,0,bounded,Increased from 515 to 575 during 1987 to fill positions left by the departing Swedish contingent (DND); 575 by 30 November 1987 (S/19304),https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html | https://digitallibrary.un.org/record/151644
UNFICYP,UN Peacekeeping Force in Cyprus (Operation SNOWGOOSE),UN-led,1987-10,1990-12,575,575,0,reported,"575 (7 HQ UNFICYP, 5 contingent HQ, 538 in the battalion or regiment, 14 signals, 11 military police) on 30 November 1987 (S/19304) and in May 1988 (S/19927); held until December 1992 (DND)",https://digitallibrary.un.org/record/151644 | https://digitallibrary.un.org/record/40281 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/snowgoose.html
UNEF II,"Second UN Emergency Force, Egypt (Operation DANACA)",UN-led,1973-11,1973-12,800,1100,0,bounded,"Advance parties in the area by mid-November 1973; DND: the operation quickly reached 1,100 in five units",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/danaca.html | https://digitallibrary.un.org/record/228891
UNEF II,"Second UN Emergency Force, Egypt (Operation DANACA)",UN-led,1974-01,1974-05,1097,1100,0,reported,"1,097 all ranks in February 1974, the largest single contingent (The Blue Helmets, 1996)",https://digitallibrary.un.org/record/228891 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/danaca.html
UNEF II,"Second UN Emergency Force, Egypt (Operation DANACA)",UN-led,1974-06,1979-06,844,900,0,bounded,"864 after the June 1974 transfer of logistics elements to UNDOF (S/11248/Add.5, which excludes those elements); a further 36 proposed in 1975 (The Blue Helmets); 844 at the July 1979 withdrawal (The Blue Helmets)",https://digitallibrary.un.org/record/487653 | https://digitallibrary.un.org/record/228891
UNEF II,"Second UN Emergency Force, Egypt (Operation DANACA)",UN-led,1979-07,1979-07,844,844,0,reported,"844 at the withdrawal of UNEF II in July 1979 (The Blue Helmets); DND: 844 at withdrawal",https://digitallibrary.un.org/record/228891 | https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/danaca.html
UNDOF,"UN Disengagement Observer Force, Golan Heights (Operation DANACA)",UN-led,1974-06,1974-07,110,157,0,reported,Logistic advance party of 110 crossed to the Golan on 5 June 1974 (S/11310); 157 in June 1974 (S/11310/Add.2),https://digitallibrary.un.org/record/489493 | https://digitallibrary.un.org/record/489615
UNDOF,"UN Disengagement Observer Force, Golan Heights (Operation DANACA)",UN-led,1974-08,1974-12,157,226,0,bounded,157 (June 1974); the logistics unit built up to about 226 (Veterans Affairs Canada),https://digitallibrary.un.org/record/489615 | https://www.veterans.gc.ca/en/remembrance/military-history/peacekeeping/golan-heights-syria
UNDOF,"UN Disengagement Observer Force, Golan Heights (Operation DANACA)",UN-led,1975-01,1990-12,220,227,0,reported,220 in May 1981 (S/14482); 226 in November 1985 (S/17628); 227 in November 1990 (S/21950),https://digitallibrary.un.org/record/21413 | https://digitallibrary.un.org/record/105866 | https://digitallibrary.un.org/record/103038
UNIFIL,UN Interim Force in Lebanon (Operation ANGORA),UN-led,1978-04,1978-05,91,91,0,exact,91 signallers on the ground in Lebanon by 19 April 1978 (89 in the Canadian Signal Unit UNIFIL plus two),https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/angora.html
UNIFIL,UN Interim Force in Lebanon (Operation ANGORA),UN-led,1978-06,1978-09,102,117,0,reported,A further draft of 26 arrived on 16 June 1978 (117 Canadians); The Blue Helmets lists 102 in UNIFIL's logistic units; the contingent ceased operations on 1 October 1978,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/angora.html | https://digitallibrary.un.org/record/228891
UNIIMOG,UN Iran–Iraq Military Observer Group (Operation VAGABOND),UN-led,1988-08,1989-03,500,525,0,reported,"Fifteen military observers plus a signals unit of approximately 500 soldiers and 150 vehicles, from 8 August 1988; the signallers were home by March 1989",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/vagabond.html
UNIIMOG,UN Iran–Iraq Military Observer Group (Operation VAGABOND),UN-led,1989-04,1990-12,4,15,0,bounded,Fifteen observers after the signals unit left; four Canadian observers remained at UNIIMOG's withdrawal on 28 February 1991 (The Blue Helmets),https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/middle-east/vagabond.html | https://digitallibrary.un.org/record/228891
UNTAG,"UN Transition Assistance Group, Namibia (Operation MATADOR)",UN-led,1989-03,1989-03,20,60,0,bounded,Advance party in Namibia on 14 March 1989; the main contingent followed in April,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/matador.html
UNTAG,"UN Transition Assistance Group, Namibia (Operation MATADOR)",UN-led,1989-04,1990-03,353,353,100,reported,"253-strong military contingent (sixteen for a year, the rest in six-month rotations; 600 served) plus 100 RCMP members in UNTAG's police component; the mission closed on 21 March 1990",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/africa/matador.html
ONUCA,UN Observer Group in Central America (Operation SULTAN),UN-led,1989-12,1989-12,9,9,0,exact,Advance party of nine officers arrived 3 December 1989,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/central-america/sultan.html
ONUCA,UN Observer Group in Central America (Operation SULTAN),UN-led,1990-01,1990-03,120,146,0,bounded,36 military observers and 84 air and ground crew with eight helicopters; the planned contingent was 146; deployment complete by late March 1990,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/central-america/sultan.html
ONUCA,UN Observer Group in Central America (Operation SULTAN),UN-led,1990-04,1990-11,165,165,0,reported,165 with the larger 102-person helicopter unit; the helicopter unit redeployed to Canada between 27 November and 15 December 1990,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/central-america/sultan.html
ONUCA,UN Observer Group in Central America (Operation SULTAN),UN-led,1990-12,1990-12,23,36,0,bounded,Observers only after the helicopter unit left; 23 Canadian observers remained when ONUCA ended on 24 January 1992,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/central-america/sultan.html
ICSC Vietnam,"International Commission for Supervision and Control, Vietnam",Other non-UN,1954-08,1954-12,60,82,0,bounded,First contingent arrived 11 August 1954; peak of 82 in July 1955,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html
ICSC Vietnam,"International Commission for Supervision and Control, Vietnam",Other non-UN,1955-01,1955-12,82,82,0,reported,"At its peak in July 1955, 53 officers and 29 non-commissioned members",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html
ICSC Vietnam,"International Commission for Supervision and Control, Vietnam",Other non-UN,1956-01,1959-12,68,82,0,bounded,Decreased to 41 officers and 27 non-commissioned members (68) by the end of 1959,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html
ICSC Vietnam,"International Commission for Supervision and Control, Vietnam",Other non-UN,1960-01,1969-12,20,68,0,bounded,68 at the end of 1959; around 20 by the start of 1970 (External Affairs staff excluded),https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html
ICSC Vietnam,"International Commission for Supervision and Control, Vietnam",Other non-UN,1970-01,1973-07,20,20,0,reported,Around 20 from 1970; the last members withdrew in July 1973,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-vietnam.html
ICSC Cambodia,"International Commission for Supervision and Control, Cambodia",Other non-UN,1954-08,1954-12,32,32,0,reported,"Maximum of 32 Canadian Forces personnel, in 1954",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
ICSC Cambodia,"International Commission for Supervision and Control, Cambodia",Other non-UN,1955-01,1959-12,6,23,0,bounded,Reduced to 23 in 1955 after the elections and gradually to six by 1960,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
ICSC Cambodia,"International Commission for Supervision and Control, Cambodia",Other non-UN,1960-01,1969-12,6,6,0,reported,Six from 1960; Canadian participation ended 31 December 1969,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-cambodia.html
ICSC Laos,"International Commission for Supervision and Control, Laos",Other non-UN,1954-08,1958-07,20,32,0,bounded,First personnel arrived 10 August 1954; peak of 23 officers and 9 non-commissioned members in January 1956; the last departed 19 July 1958,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
ICSC Laos,"International Commission for Supervision and Control, Laos",Other non-UN,1962-05,1969-12,19,19,0,reported,Second commission from May 1962; peak of 19 military personnel; most withdrawn in December 1969,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
ICSC Laos,"International Commission for Supervision and Control, Laos",Other non-UN,1970-01,1974-06,2,2,0,reported,One officer and one non-commissioned member by 1971; Canada withdrew on 15 June 1974,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/international-commission-supervision-control-laos.html
ICCS,"International Commission of Control and Supervision, Vietnam (Operation WESTPLOY)",Other non-UN,1973-01,1973-07,200,290,0,bounded,"290 military and civilian personnel, January to July 1973; the military share is not stated",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/westploy.html
MFO,"Multinational Force and Observers, Sinai (Operation CALUMET)",Other non-UN,1986-01,1990-03,140,140,0,reported,140 RCAF members and nine helicopters from 1986,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
MFO,"Multinational Force and Observers, Sinai (Operation CALUMET)",Other non-UN,1990-04,2015-12,30,30,0,reported,Flight-following and staff expertise after the aviation unit left in March 1990,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
MFO,"Multinational Force and Observers, Sinai (Operation CALUMET)",Other non-UN,2016-01,2026-12,40,40,0,reported,About 40 members,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/current-operations/operation-calumet.html
IFOR,"NATO Implementation Force, Bosnia (Operation ALLIANCE)",NATO-led (Balkans),1995-12,1996-12,1047,1047,0,reported,"1,047 personnel in a composite organization, December 1995 to December 1996",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/alliance.html
SFOR,"NATO Stabilization Force, Bosnia (Operation PALLADIUM)",NATO-led (Balkans),1997-01,2004-03,1200,1200,0,reported,"Began with approximately 1,200 personnel",https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
SFOR,"NATO Stabilization Force, Bosnia (Operation PALLADIUM)",NATO-led (Balkans),2004-04,2004-09,650,650,0,reported,Reduced to about 650 in April 2004,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
SFOR,"NATO Stabilization Force, Bosnia (Operation PALLADIUM)",NATO-led (Balkans),2004-10,2004-12,85,85,0,reported,Reduced in early October 2004 from 650 to fewer than 85,https://www.canada.ca/en/department-national-defence/services/operations/military-operations/recently-completed/canadian-armed-forces-operations-bosnia-herzegovina.html
KFOR,NATO Kosovo Force (Operation KINETIC),NATO-led (Balkans),1999-05,1999-06,800,800,0,reported,Approximately 800 arrived in Macedonia in May 1999,https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/kinetic.html
KFOR,NATO Kosovo Force (Operation KINETIC),NATO-led (Balkans),1999-07,2000-06,1400,1400,0,reported,"A further 500 in early July 1999 raised Operation KINETIC to approximately 1,400; all withdrawn in June 2000",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/europe/kinetic.html
ISAF Kabul,"NATO ISAF, Kabul (Operation ATHENA, first series)",NATO-led (Afghanistan),2003-08,2004-07,2000,2000,0,reported,"A two-thousand-strong battle group deployed to Kabul from August 2003",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
ISAF Kabul,"NATO ISAF, Kabul (Operation ATHENA, first series)",NATO-led (Afghanistan),2004-08,2005-10,700,700,0,reported,"Canada reduced its commitment to ISAF to seven hundred, all ranks, in August 2004; the first Op ATHENA series ended on 18 October 2005",https://www.canada.ca/en/department-national-defence/services/military-history/history-heritage/past-operations/asia-pacific/athena.html
