date,component,measure,value,source
2026-07-31,Primary Reserve,average paid strength,25661.0,"DND, State of the Canadian Armed Forces (CAF Population table)"
2017-03-31,Primary Reserve,total strength,26800.0,"DND, Departmental Results Report 2016-17, Canada's Reserve Force (approximately, as of 31 March 2017) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-performance/2016-17/supporting-documents/canadas-reserve-force.html"
2018-03-31,Primary Reserve,total strength,27200.0,"DND, Departmental Results Report 2017-18, Canada's Reserve Force (approximately, as of 31 March 2018) — https://www.canada.ca/en/department-national-defence/corporate/reports-publications/departmental-results-report/departmental-results-2017-18-index/supporting-documents-index/canadas-reserve-force.html"
2026-07-31,Primary Reserve,total strength,33315.0,"DND, State of the Canadian Armed Forces (CAF Population table)"
2026-07-31,Regular Force,authorized strength,71500.0,"DND, State of the Canadian Armed Forces (CAF Population table)"
1962-03-31,Regular Force,strength,126474.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1969-03-31,Regular Force,strength,98340.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1972-03-31,Regular Force,strength,84933.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1976-03-31,Regular Force,strength,79738.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1978-03-31,Regular Force,strength,81137.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1979-03-31,Regular Force,strength,80591.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1980-03-31,Regular Force,strength,80299.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1981-03-31,Regular Force,strength,80861.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1982-03-31,Regular Force,strength,82858.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1983-03-31,Regular Force,strength,82905.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1984-03-31,Regular Force,strength,81675.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1985-03-31,Regular Force,strength,83740.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1986-03-31,Regular Force,strength,84373.0,"Statistics Canada, Canada Year Book 1988, table 21.16 'Canadian Armed Forces strength, selected years' (fiscal year ending March 31; total of all ranks) — https://www66.statcan.gc.ca/eng/1988/198807190711_p.%2021-43.pdf"
1997-03-31,Regular Force,strength,61675.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
1998-03-31,Regular Force,strength,61087.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
1999-03-31,Regular Force,strength,59641.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2000-03-31,Regular Force,strength,58351.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2001-03-31,Regular Force,strength,57607.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2002-03-31,Regular Force,strength,59385.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2003-03-31,Regular Force,strength,61179.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2004-03-31,Regular Force,strength,61572.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2005-03-31,Regular Force,strength,61632.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2006-03-31,Regular Force,strength,63108.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2007-03-31,Regular Force,strength,64171.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2008-03-31,Regular Force,strength,64836.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2009-03-31,Regular Force,strength,65955.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2010-03-31,Regular Force,strength,68174.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2011-03-31,Regular Force,strength,68267.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2012-03-31,Regular Force,strength,67940.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2013-03-31,Regular Force,strength,67791.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2014-03-31,Regular Force,strength,67172.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2015-03-31,Regular Force,strength,66429.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2016-03-31,Regular Force,strength,66602.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2017-03-31,Regular Force,strength,66376.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2018-03-31,Regular Force,strength,67296.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2019-03-31,Regular Force,strength,67577.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2020-03-31,Regular Force,strength,67752.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2021-03-31,Regular Force,strength,65639.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2022-03-31,Regular Force,strength,65025.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2023-03-31,Regular Force,strength,63493.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2024-03-31,Regular Force,strength,63714.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2025-03-31,Regular Force,strength,65756.0,"DND open data: CAF Regular Force Members by Rank (sum of ranks, fiscal year ending March 31)"
2026-07-31,Regular Force,strength,68473.0,"DND, State of the Canadian Armed Forces (CAF Population table)"
