measure,geo,census_year,generation,age_group,category,value_pct,source
adjusted_homeownership_rate,Halifax,2006,Generation X,25 to 39 years,,52.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Halifax,2021,Millennials,25 to 39 years,,44.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Montréal,1991,Baby boomers,25 to 39 years,,44.1,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Montréal,2006,Generation X,25 to 39 years,,42.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Montréal,2021,Millennials,25 to 39 years,,41.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Ottawa–Gatineau,1991,Baby boomers,25 to 39 years,,50.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Ottawa–Gatineau,2006,Generation X,25 to 39 years,,56.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Ottawa–Gatineau,2021,Millennials,25 to 39 years,,48.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Toronto,1991,Baby boomers,25 to 39 years,,47.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Toronto,2006,Generation X,25 to 39 years,,51.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Toronto,2021,Millennials,25 to 39 years,,41.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Winnipeg,1991,Baby boomers,25 to 39 years,,59.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Winnipeg,2006,Generation X,25 to 39 years,,57.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Winnipeg,2021,Millennials,25 to 39 years,,51.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Edmonton,1991,Baby boomers,25 to 39 years,,54.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Edmonton,2006,Generation X,25 to 39 years,,59.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Edmonton,2021,Millennials,25 to 39 years,,54.8,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Calgary,1991,Baby boomers,25 to 39 years,,55.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Calgary,2006,Generation X,25 to 39 years,,64.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Calgary,2021,Millennials,25 to 39 years,,53.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Vancouver,1991,Baby boomers,25 to 39 years,,47.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Vancouver,2006,Generation X,25 to 39 years,,48.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
adjusted_homeownership_rate,Vancouver,2021,Millennials,25 to 39 years,,41.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 6)"
owned_dwelling_type_share,Montréal,1991,Baby boomers,25 to 39 years,Single-detached house,30.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,1991,Baby boomers,25 to 39 years,Attached or row house,6.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,1991,Baby boomers,25 to 39 years,Mobile home,0.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,1991,Baby boomers,25 to 39 years,Low-rise apartment,7.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,1991,Baby boomers,25 to 39 years,Apartment in a building with five or more storeys,0.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2006,Generation X,25 to 39 years,Single-detached house,27.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2006,Generation X,25 to 39 years,Attached or row house,5.8,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2006,Generation X,25 to 39 years,Mobile home,0.1,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2006,Generation X,25 to 39 years,Low-rise apartment,8.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2006,Generation X,25 to 39 years,Apartment in a building with five or more storeys,0.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2021,Millennials,25 to 39 years,Single-detached house,22.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2021,Millennials,25 to 39 years,Attached or row house,5.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2021,Millennials,25 to 39 years,Mobile home,0.1,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2021,Millennials,25 to 39 years,Low-rise apartment,11.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Montréal,2021,Millennials,25 to 39 years,Apartment in a building with five or more storeys,1.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,1991,Baby boomers,25 to 39 years,Single-detached house,32.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,1991,Baby boomers,25 to 39 years,Attached or row house,10.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,1991,Baby boomers,25 to 39 years,Mobile home,0.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,1991,Baby boomers,25 to 39 years,Low-rise apartment,1.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,1991,Baby boomers,25 to 39 years,Apartment in a building with five or more storeys,2.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2006,Generation X,25 to 39 years,Single-detached house,27.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2006,Generation X,25 to 39 years,Attached or row house,13.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2006,Generation X,25 to 39 years,Mobile home,0.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2006,Generation X,25 to 39 years,Low-rise apartment,5.1,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2006,Generation X,25 to 39 years,Apartment in a building with five or more storeys,5.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2021,Millennials,25 to 39 years,Single-detached house,19.4,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2021,Millennials,25 to 39 years,Attached or row house,10.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2021,Millennials,25 to 39 years,Mobile home,0.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2021,Millennials,25 to 39 years,Low-rise apartment,3.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Toronto,2021,Millennials,25 to 39 years,Apartment in a building with five or more storeys,7.8,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,1991,Baby boomers,25 to 39 years,Single-detached house,47.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,1991,Baby boomers,25 to 39 years,Attached or row house,5.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,1991,Baby boomers,25 to 39 years,Mobile home,0.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,1991,Baby boomers,25 to 39 years,Low-rise apartment,1.4,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,1991,Baby boomers,25 to 39 years,Apartment in a building with five or more storeys,0.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2006,Generation X,25 to 39 years,Single-detached house,48.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2006,Generation X,25 to 39 years,Attached or row house,8.4,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2006,Generation X,25 to 39 years,Mobile home,0.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2006,Generation X,25 to 39 years,Low-rise apartment,6.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2006,Generation X,25 to 39 years,Apartment in a building with five or more storeys,1.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2021,Millennials,25 to 39 years,Single-detached house,36.8,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2021,Millennials,25 to 39 years,Attached or row house,9.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2021,Millennials,25 to 39 years,Mobile home,0.1,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2021,Millennials,25 to 39 years,Low-rise apartment,5.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Calgary,2021,Millennials,25 to 39 years,Apartment in a building with five or more storeys,1.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,1991,Baby boomers,25 to 39 years,Single-detached house,36.3,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,1991,Baby boomers,25 to 39 years,Attached or row house,3.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,1991,Baby boomers,25 to 39 years,Mobile home,0.4,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,1991,Baby boomers,25 to 39 years,Low-rise apartment,6.4,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,1991,Baby boomers,25 to 39 years,Apartment in a building with five or more storeys,0.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2006,Generation X,25 to 39 years,Single-detached house,20.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2006,Generation X,25 to 39 years,Attached or row house,7.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2006,Generation X,25 to 39 years,Mobile home,0.1,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2006,Generation X,25 to 39 years,Low-rise apartment,16.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2006,Generation X,25 to 39 years,Apartment in a building with five or more storeys,4.0,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2021,Millennials,25 to 39 years,Single-detached house,12.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2021,Millennials,25 to 39 years,Attached or row house,7.9,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2021,Millennials,25 to 39 years,Mobile home,0.1,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2021,Millennials,25 to 39 years,Low-rise apartment,14.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Vancouver,2021,Millennials,25 to 39 years,Apartment in a building with five or more storeys,6.5,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Canada,1991,Baby boomers,25 to 39 years,Single-detached house,45.7,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Canada,1991,Baby boomers,25 to 39 years,Attached or row house,5.2,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Canada,1991,Baby boomers,25 to 39 years,Mobile home,1.6,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
owned_dwelling_type_share,Canada,1991,Baby boomers,25 to 39 years,Low-rise apartment,2.8,"Statistics Canada, Millennials in the Canadian housing market: An intergenerational comparison (Housing Statistics in Canada 46-28-0001, 2026), data tables for Charts 1, 2, 5, 6, and 7 and Table 1 (Chart 7)"
