country_code,country_name,year,maternal_mortality
DNK,Denmark,2010,7
DNK,Denmark,2011,6
DNK,Denmark,2012,6
DNK,Denmark,2013,5
DNK,Denmark,2014,5
DNK,Denmark,2015,5
DNK,Denmark,2016,5
DNK,Denmark,2017,5
DNK,Denmark,2018,5
DNK,Denmark,2019,4
DNK,Denmark,2020,4
DNK,Denmark,2021,8
DNK,Denmark,2022,6
DNK,Denmark,2023,4
FIN,Finland,2000,7
FIN,Finland,2001,7
FIN,Finland,2002,7
FIN,Finland,2003,7
FIN,Finland,2004,7
FIN,Finland,2005,8
FIN,Finland,2006,7
FIN,Finland,2007,7
FIN,Finland,2008,7
FIN,Finland,2009,8
FIN,Finland,2010,8
FIN,Finland,2011,7
FIN,Finland,2012,8
FIN,Finland,2013,8
FIN,Finland,2014,7
FIN,Finland,2015,7
FIN,Finland,2016,7
FIN,Finland,2017,8
FIN,Finland,2018,8
FIN,Finland,2019,8
FIN,Finland,2020,9
FIN,Finland,2021,8
FIN,Finland,2022,8
FIN,Finland,2023,8
FRA,France,2000,9
FRA,France,2001,9
FRA,France,2002,9
FRA,France,2003,9
FRA,France,2004,9
FRA,France,2005,9
FRA,France,2006,9
FRA,France,2007,9
FRA,France,2008,10
FRA,France,2009,10
FRA,France,2010,9
FRA,France,2011,9
FRA,France,2012,9
FRA,France,2013,9
FRA,France,2014,9
FRA,France,2015,9
FRA,France,2016,9
FRA,France,2017,8
FRA,France,2018,9
FRA,France,2019,8
FRA,France,2020,9
FRA,France,2021,9
FRA,France,2022,9
FRA,France,2023,7
GBR,United Kingdom,2000,12
GBR,United Kingdom,2001,13
GBR,United Kingdom,2002,13
GBR,United Kingdom,2003,14
GBR,United Kingdom,2004,13
GBR,United Kingdom,2005,12
GBR,United Kingdom,2006,12
GBR,United Kingdom,2007,11
GBR,United Kingdom,2008,11
GBR,United Kingdom,2009,11
GBR,United Kingdom,2010,10
GBR,United Kingdom,2011,10
GBR,United Kingdom,2012,9
GBR,United Kingdom,2013,9
GBR,United Kingdom,2014,9
GBR,United Kingdom,2015,9
GBR,United Kingdom,2016,9
GBR,United Kingdom,2017,9
GBR,United Kingdom,2018,9
GBR,United Kingdom,2019,9
GBR,United Kingdom,2020,14
GBR,United Kingdom,2021,13
GBR,United Kingdom,2022,15
GBR,United Kingdom,2023,8
ISR,Israel,2000,9
ISR,Israel,2001,7
ISR,Israel,2002,7
ISR,Israel,2003,5
ISR,Israel,2004,5
ISR,Israel,2005,4
ISR,Israel,2006,4
ISR,Israel,2007,4
ISR,Israel,2008,4
ISR,Israel,2009,4
ISR,Israel,2010,3
ISR,Israel,2011,3
ISR,Israel,2012,3
ISR,Israel,2013,3
ISR,Israel,2014,3
ISR,Israel,2015,3
ISR,Israel,2016,3
ISR,Israel,2017,3
ISR,Israel,2018,3
ISR,Israel,2019,3
ISR,Israel,2020,3
ISR,Israel,2021,3
ISR,Israel,2022,3
ISR,Israel,2023,2
ITA,Italy,2000,11
ITA,Italy,2001,10
ITA,Italy,2002,10
ITA,Italy,2003,8
ITA,Italy,2004,8
ITA,Italy,2005,8
ITA,Italy,2006,7
ITA,Italy,2007,7
ITA,Italy,2008,7
ITA,Italy,2009,8
ITA,Italy,2010,8
ITA,Italy,2011,8
ITA,Italy,2012,8
ITA,Italy,2013,8
ITA,Italy,2014,8
ITA,Italy,2015,8
ITA,Italy,2016,8
ITA,Italy,2017,8
ITA,Italy,2018,7
ITA,Italy,2019,7
ITA,Italy,2020,8
ITA,Italy,2021,7
ITA,Italy,2022,10
ITA,Italy,2023,6
JPN,Japan,2000,9
JPN,Japan,2001,8
JPN,Japan,2002,8
JPN,Japan,2003,8
JPN,Japan,2004,7
JPN,Japan,2005,7
JPN,Japan,2006,7
JPN,Japan,2007,6
JPN,Japan,2008,6
JPN,Japan,2009,6
JPN,Japan,2010,6
JPN,Japan,2011,6
JPN,Japan,2012,6
JPN,Japan,2013,5
JPN,Japan,2014,5
JPN,Japan,2015,5
JPN,Japan,2016,5
JPN,Japan,2017,5
JPN,Japan,2018,5
JPN,Japan,2019,5
JPN,Japan,2020,4
JPN,Japan,2021,4
JPN,Japan,2022,5
JPN,Japan,2023,3
KOR,South Korea,2000,15
KOR,South Korea,2001,14
KOR,South Korea,2002,13
KOR,South Korea,2003,13
KOR,South Korea,2004,12
KOR,South Korea,2005,11
KOR,South Korea,2006,10
KOR,South Korea,2007,10
KOR,South Korea,2008,9
KOR,South Korea,2009,9
KOR,South Korea,2010,8
KOR,South Korea,2011,8
KOR,South Korea,2012,8
KOR,South Korea,2013,7
KOR,South Korea,2014,7
KOR,South Korea,2015,6
KOR,South Korea,2016,6
KOR,South Korea,2017,6
KOR,South Korea,2018,5
KOR,South Korea,2019,5
KOR,South Korea,2020,12
KOR,South Korea,2021,5
KOR,South Korea,2022,7
KOR,South Korea,2023,4
NLD,Netherlands,2000,13
NLD,Netherlands,2001,13
NLD,Netherlands,2002,13
NLD,Netherlands,2003,12
NLD,Netherlands,2004,11
NLD,Netherlands,2005,10
NLD,Netherlands,2006,9
NLD,Netherlands,2007,8
NLD,Netherlands,2008,8
NLD,Netherlands,2009,7
NLD,Netherlands,2010,6
NLD,Netherlands,2011,7
NLD,Netherlands,2012,6
NLD,Netherlands,2013,6
NLD,Netherlands,2014,5
NLD,Netherlands,2015,5
NLD,Netherlands,2016,5
NLD,Netherlands,2017,5
NLD,Netherlands,2018,5
NLD,Netherlands,2019,5
NLD,Netherlands,2020,4
NLD,Netherlands,2021,5
NLD,Netherlands,2022,4
NLD,Netherlands,2023,4
NOR,Norway,2000,5
NOR,Norway,2001,5
NOR,Norway,2002,5
NOR,Norway,2003,5
NOR,Norway,2004,6
NOR,Norway,2005,6
NOR,Norway,2006,5
NOR,Norway,2007,5
NOR,Norway,2008,5
NOR,Norway,2009,4
NOR,Norway,2010,4
NOR,Norway,2011,4
NOR,Norway,2012,3
NOR,Norway,2013,3
NOR,Norway,2014,2
NOR,Norway,2015,2
NOR,Norway,2016,2
NOR,Norway,2017,2
NOR,Norway,2018,2
NOR,Norway,2019,2
NOR,Norway,2020,2
NOR,Norway,2021,2
NOR,Norway,2022,3
NOR,Norway,2023,1
NZL,New Zealand,2000,11
NZL,New Zealand,2001,10
NZL,New Zealand,2002,11
NZL,New Zealand,2003,11
NZL,New Zealand,2004,11
NZL,New Zealand,2005,11
NZL,New Zealand,2006,10
NZL,New Zealand,2007,10
NZL,New Zealand,2008,10
NZL,New Zealand,2009,10
NZL,New Zealand,2010,10
NZL,New Zealand,2011,10
NZL,New Zealand,2012,9
NZL,New Zealand,2013,8
NZL,New Zealand,2014,7
NZL,New Zealand,2015,8
NZL,New Zealand,2016,8
NZL,New Zealand,2017,8
NZL,New Zealand,2018,7
NZL,New Zealand,2019,8
NZL,New Zealand,2020,8
NZL,New Zealand,2021,8
NZL,New Zealand,2022,23
NZL,New Zealand,2023,7
SWE,Sweden,2000,5
SWE,Sweden,2001,5
SWE,Sweden,2002,5
SWE,Sweden,2003,5
SWE,Sweden,2004,5
SWE,Sweden,2005,5
SWE,Sweden,2006,5
SWE,Sweden,2007,5
SWE,Sweden,2008,5
SWE,Sweden,2009,5
SWE,Sweden,2010,5
SWE,Sweden,2011,5
SWE,Sweden,2012,5
SWE,Sweden,2013,5
SWE,Sweden,2014,5
SWE,Sweden,2015,5
SWE,Sweden,2016,5
SWE,Sweden,2017,5
SWE,Sweden,2018,5
SWE,Sweden,2019,4
SWE,Sweden,2020,5
SWE,Sweden,2021,5
SWE,Sweden,2022,5
SWE,Sweden,2023,4
USA,United States,2000,12
USA,United States,2001,13
USA,United States,2002,13
USA,United States,2003,13
USA,United States,2004,13
USA,United States,2005,13
USA,United States,2006,13
USA,United States,2007,13
USA,United States,2008,14
USA,United States,2009,15
USA,United States,2010,15
USA,United States,2011,15
USA,United States,2012,16
USA,United States,2013,16
USA,United States,2014,17
USA,United States,2015,17
USA,United States,2016,18
USA,United States,2017,18
USA,United States,2018,18
USA,United States,2019,18
USA,United States,2020,22
USA,United States,2021,31
USA,United States,2022,20
USA,United States,2023,17
