climate_id,station,province,lat,lon,jan_temp,jul_temp,annual_temp,annual_precip
1078209,Topley Landing,BC,54.8158,-126.1631,-8.54,14.58,3.44,538.14
1048898,Whistler,BC,50.1289,-122.9548,-2.13,16.39,6.65,1227.65
1106180,Pitt Polder,BC,49.2732,-122.6306,3.05,18.01,10.02,2155.41
1123750,Joe Rich Creek,BC,49.8572,-119.1261,-5.12,15.6,5.03,596.23
1103326,Haney East,BC,49.2044,-122.5583,3.21,17.71,10.03,1787.76
1192340,Dease Lake,BC,58.4283,-130.0106,-16.06,13.01,-0.48,445.32
1075384,Nass Camp,BC,55.2375,-129.0297,-5.55,15.8,5.6,1091.85
1067776,Stuie Tweedsmuir Lodge,BC,52.3681,-126.0672,-1.9,18.36,8.29,792.95
1105192,Mission West Abbey,BC,49.1525,-122.2706,3.25,17.84,10.25,1883.34
1025240,Mud Bay,BC,49.4708,-124.7942,3.45,17.51,9.65,1686.76
1025370,Nanaimo A,BC,49.0544,-123.87,3.51,18.12,10.08,1165.36
1018620,Victoria Int'L A,BC,48.6472,-123.4258,4.55,16.87,10.04,882.94
1152102,Cranbrook A,BC,49.6122,-115.7819,-6.08,18.74,6.03,385.25
1123970,Kelowna A,BC,49.9561,-119.3778,-2.52,19.51,8.12,386.93
1152899,Fording River Cominco,BC,50.1486,-114.855,-9.85,12.58,0.94,616.97
1126150,Penticton A,BC,49.4631,-119.6022,-0.58,20.99,9.45,346.03
1031353,Cape Scott,BC,50.7822,-128.4272,5.68,13.4,9.12,2604.23
1142164,Creston Wpcc,BC,49.0956,-116.5294,-1.97,19.26,8.15,562.62
1035614,Nootka Lightstation,BC,49.6,-126.6167,5.58,15.78,10.21,3279.73
1141457,Castlegar Bchpa Dam,BC,49.3434,-117.7742,-1.19,20.11,8.87,666.37
1200560,Atlin,BC,59.5667,-133.7,-12.8,13.39,1.12,364.7
1183000,Fort St John A,BC,56.2381,-120.7403,-12.81,16.19,2.3,444.71
1016940,Saanichton Cda,BC,48.6217,-123.4189,4.81,17.02,10.31,908.22
1062646,Egg Island,BC,51.2472,-127.8354,4.94,13.71,8.84,2583.97
1100030,Abbotsford A,BC,49.0253,-122.36,3.59,18.11,10.44,1537.76
1092970,Fort St James,BC,54.4553,-124.2856,-9.52,15.37,3.52,487.16
1123360,Hedley,BC,49.3572,-120.0767,-2.73,20.12,8.58,397.16
1084731,Lunch Lake,BC,51.8244,-124.4665,-7.85,13.75,3.17,366.87
1021330,Cape Mudge,BC,49.9985,-125.1955,4.07,17.2,9.88,1527.95
1060840,Bella Coola,BC,52.3706,-126.685,-0.07,17.0,8.17,1631.75
1035612,Nitinat River Hatchery,BC,48.8594,-124.6553,3.95,16.27,9.71,3656.37
23026HN,Lupin A,NU,65.7592,-111.25,-29.88,11.53,-10.91,298.49
2403500,Resolute Cars,NU,74.7169,-94.9694,-31.96,4.48,-15.67,161.2
2403854,Taloyoak A,NU,69.55,-93.5833,-33.68,8.4,-14.27,187.4
2403201,Pond Inlet A,NU,72.6894,-77.9689,-33.4,6.63,-14.56,189.01
2100800,Old Crow A,YT,67.5706,-139.8392,-29.24,14.62,-8.27,278.56
2100460,Drury Creek,YT,62.2019,-134.39,-21.1,13.98,-3.97,376.73
2100709,Mayo Road,YT,60.8764,-135.1828,-17.21,14.94,-0.55,313.36
2101300,Whitehorse A,YT,60.7095,-135.0688,-15.15,14.34,-0.07,262.32
2202200,Fort Smith A,NT,60.0203,-111.9619,-22.42,17.01,-1.81,353.61
2400600,Cambridge Bay A,NU,69.1081,-105.1383,-31.98,8.88,-13.85,141.74
2402350,Hall Beach A,NU,68.7758,-81.2425,-31.86,6.71,-13.55,215.42
2100182,Burwash A,YT,61.3667,-139.05,-20.51,13.06,-3.23,274.73
1168520,Vavenby,BC,51.5761,-119.7781,-5.17,18.2,6.62,484.14
1173210,Golden A,BC,51.2992,-116.9822,-7.94,17.28,5.08,466.82
1012040,Cowichan Lake Forestry,BC,48.8244,-124.1333,3.36,17.7,9.84,2206.91
1192940,Fort Nelson A,BC,58.8364,-122.5972,-20.34,17.09,-0.41,452.06
1021850,Coombs,BC,49.3058,-124.4292,2.81,17.23,9.18,1138.47
1044840,Malibu Jervis Inlet,BC,50.165,-123.8536,3.14,18.82,10.28,2493.93
1098940,Williams Lake A,BC,52.1831,-122.0542,-6.71,15.95,4.52,450.65
1036570,Quatsino,BC,50.5336,-127.6533,4.39,15.32,9.41,2492.62
2100517,Faro A,YT,62.2069,-133.3733,-20.11,14.97,-1.98,319.68
2303092,Kugaaruk A,NU,68.5406,-89.7972,-33.53,9.25,-13.52,261.25
2100880,Pelly Ranch,YT,62.83,-137.3108,-24.9,15.76,-3.13,320.51
2300500,Baker Lake A,NU,64.2989,-96.0778,-31.3,11.57,-11.27,272.45
2201575,Fort Liard A,NT,60.235,-123.4669,-21.75,17.34,-0.98,451.7
1021830,Comox A,BC,49.7167,-124.9,3.87,18.04,9.99,1153.62
1096450,Prince George A,BC,53.8908,-122.6789,-7.9,15.8,4.31,594.85
1098946,Williams Lake River,BC,52.1281,-122.1489,-5.93,17.93,6.52,425.88
1070573,Babine Lake Pinkut Creek,BC,54.4464,-125.4597,-7.27,14.73,3.82,470.8
2502501,Ulukhaktok A,NT,70.7628,-117.8061,-28.03,9.04,-11.58,155.28
2100402,Dawson A,YT,64.0431,-139.1278,-25.97,15.68,-4.1,324.4
1145460,New Denver,BC,49.9958,-117.3703,-1.74,19.1,8.12,872.6
1158692,Wardner Ktny Hatchery,BC,49.4732,-115.4595,-5.07,18.42,6.58,433.8
2401200,Eureka A,NU,79.9833,-85.9333,-36.53,6.11,-18.75,79.07
1158730,Wasa,BC,49.8073,-115.6308,-6.18,18.39,5.99,453.27
1098318,Twan Creek,BC,52.4664,-122.6175,-8.97,14.43,3.09,456.68
1096458,Prince George 15Nw,BC,54.0531,-122.7358,-9.0,15.45,3.48,654.1
1167637,Spences Bridge Nicola,BC,50.4218,-121.3147,-2.42,22.11,10.07,263.7
1033232,Gold River Townsite,BC,49.7789,-126.055,2.05,17.91,9.41,2851.05
1063298,Green Island,BC,54.5686,-130.7081,3.23,14.55,8.53,2474.28
1097646,Spokin Lake 4E,BC,52.1836,-121.6861,-7.61,13.44,2.98,576.76
1123469,Highland Valley Lornex,BC,50.4667,-121.0167,-4.86,14.95,4.43,393.21
1128958,Winfield,BC,50.0366,-119.4163,-1.88,20.26,8.89,382.03
1057050,Sandspit A,BC,53.2539,-131.8131,4.02,14.46,8.61,1407.48
1106PF7,Richmond Nature Park,BC,49.1708,-123.0931,3.97,18.28,10.55,1262.43
1181508,Chetwynd A,BC,55.6872,-121.6267,-10.16,15.35,3.03,440.58
1182285,Dawson Creek A,BC,55.7417,-120.1819,-13.15,15.54,1.92,453.15
1068131,Terrace Pcc,BC,54.5019,-128.6247,-1.98,16.84,7.39,1168.85
1084351,Kleena Kleene 2,BC,51.9778,-124.9903,-8.76,14.2,3.13,318.55
1085835,Ootsa L Skins L Spillway,BC,53.7722,-125.9966,-7.74,13.73,3.23,417.01
1206197,Pleasant Camp,BC,59.45,-136.3667,-7.91,14.54,2.97,1426.9
1154909,Marysville,BC,49.6371,-115.9571,-6.37,17.6,5.47,443.26
1171393,Cariboo Lodge,BC,52.7195,-119.4717,-8.06,14.14,2.84,1060.89
1143900,Kaslo,BC,49.9127,-116.9206,-2.07,18.48,7.74,885.6
1108447,Vancouver Int'L A,BC,49.195,-123.1819,4.13,17.96,10.4,1189.01
1090660,Barkerville,BC,53.0692,-121.5147,-7.52,12.34,2.03,1021.71
1093474,Hixon,BC,53.5314,-122.6994,-6.7,16.69,5.32,645.04
109C0LF,Fraser Lake North Shore,BC,54.0783,-124.8472,-9.49,15.36,3.68,525.8
1036240,Port Alice,BC,50.3858,-127.4553,4.93,16.13,9.82,3426.83
6061361,Chapleau A,ON,47.82,-83.3467,-15.6,17.2,2.02,808.99
1032730,Estevan Point,BC,49.3833,-126.5431,5.92,14.38,9.68,3184.43
6151042,Burketon Mclaughlin,ON,44.0333,-78.8,-7.38,19.98,6.76,920.55
615EMR7,Mountainview,ON,44.052,-77.3017,-5.96,21.41,7.92,948.34
6140954,Brantford Moe,ON,43.1333,-80.2333,-5.98,21.33,8.09,867.26
6144475,London Int'L Airport,ON,43.0331,-81.1511,-5.55,20.77,7.85,1011.54
6147188,Roseville,ON,43.3536,-80.4736,-6.46,20.45,7.3,918.73
6148105,Stratford Wwtp,ON,43.3689,-81.0047,-6.02,20.17,7.43,1069.6
6166418,Peterborough A,ON,44.2333,-78.3667,-8.47,19.63,6.22,855.32
6141933,Culloden Easey,ON,42.8895,-80.8467,-5.7,21.02,7.98,1045.74
6150830,Bowmanville Mostert,ON,43.9167,-78.6667,-5.64,20.02,7.51,866.45
615HMAK,Toronto Buttonville A,ON,43.8622,-79.37,-5.83,21.17,7.72,852.89
6142420,Foldens,ON,43.0184,-80.7808,-5.79,20.97,7.97,953.8
6147229,Ruskview,ON,44.2333,-80.1333,-7.27,19.7,6.44,995.79
6150689,Belleville,ON,44.1506,-77.3947,-6.7,21.84,8.09,911.59
1036572,Quatsino Lightstation,BC,50.4411,-128.0325,5.99,14.82,9.95,2601.9
1060902,Bonilla Island,BC,53.4928,-130.6377,4.97,13.44,8.87,2139.81
1062544,Dryad Point,BC,52.185,-128.1122,4.23,15.44,9.38,2628.71
1026565,Qualicum R Fish Research,BC,49.3938,-124.6172,3.88,17.07,9.59,1309.37
1113581,Hope Slide,BC,49.2667,-121.2333,-1.76,15.06,6.34,1220.41
1107080,Sardis,BC,49.0819,-121.8947,2.9,17.93,10.09,1538.47
107G879,Suskwa Valley,BC,55.2886,-127.1706,-6.43,14.46,4.28,757.07
1064321,Kitimat 2,BC,54.0097,-128.705,-0.92,17.14,7.89,2774.64
1125079,Merritt Stp,BC,50.1142,-120.8008,-2.95,18.78,7.77,321.14
1046391,Powell River A,BC,49.8342,-124.5003,3.55,17.24,9.59,1205.38
1064020,Kemano,BC,53.5631,-127.9428,-1.47,16.45,7.39,1986.9
1125865,Osoyoos West,BC,49.0319,-119.4428,-0.73,21.85,10.41,323.16
1142574,Duncan Lake Dam,BC,50.2387,-116.9715,-2.92,17.65,7.01,806.83
1126070,Peachland,BC,49.7833,-119.7167,-0.24,21.4,9.95,393.39
1183090,Germansen Landing,BC,55.7855,-124.7014,-13.1,14.31,1.45,553.2
1142160,Creston,BC,49.0971,-116.5178,-1.57,19.68,8.52,662.42
1166R45,Salmon Arm A,BC,50.6856,-119.2336,-3.67,19.08,7.4,653.03
1142820,Fauquier,BC,49.8719,-118.0675,-1.69,18.67,7.87,791.29
1016335,Port Renfrew,BC,48.5917,-124.3264,4.06,15.25,9.29,3504.61
1125766,Oliver Stp,BC,49.179,-119.5447,-0.76,22.22,10.32,329.66
1016995,Saltspring St Mary'S L,BC,48.8881,-123.5464,4.28,18.14,10.67,986.96
1077500,Smithers A,BC,54.8247,-127.1828,-7.23,15.16,4.22,508.54
1017230,Shawnigan Lake,BC,48.6469,-123.6264,3.44,17.67,9.89,1249.95
1021266,Campbell River Surfside,BC,49.945,-125.2075,2.57,16.18,9.42,1423.14
1060901,Boat Bluff,BC,52.6431,-128.5239,3.57,14.73,8.65,5046.76
1021480,Chatham Point,BC,50.3332,-125.4456,4.07,16.01,9.48,2316.42
1098D90,Vanderhoof,BC,54.0333,-124.0167,-8.95,16.31,4.44,489.15
1060080,Addenbroke Island,BC,51.6035,-127.8639,4.65,14.87,9.24,3262.22
1100120,Agassiz Cda,BC,49.2431,-121.7603,3.39,18.46,10.78,1754.11
1021261,Campbell River A,BC,49.9519,-125.2731,2.4,17.28,9.03,1489.3
1173242,Goldstream River,BC,51.6297,-118.4247,-6.47,16.86,5.09,1070.76
1141455,Castlegar A,BC,49.2964,-117.6325,-1.62,20.15,8.69,750.92
1026270,Port Hardy A,BC,50.6803,-127.3661,4.18,14.28,8.56,1907.55
1173191,Glacier Np Rogers Pass,BC,51.3017,-117.5167,-8.34,13.06,1.93,1494.6
1043152,Gibsons Gower Point,BC,49.3856,-123.5414,4.62,17.6,10.52,1354.52
1031316,Cape Beale Light,BC,48.7861,-125.2161,5.87,13.91,9.67,2766.47
117CA90,Glacier Np Mt Fidelity,BC,51.2382,-117.7015,-8.13,11.0,0.49,2037.74
1038205,Tofino A,BC,49.0822,-125.7725,5.34,14.7,9.45,3270.66
1168880,Westwold,BC,50.4689,-119.7506,-4.04,18.03,6.63,408.86
1154410,Kootenay Np West Gate,BC,50.6308,-116.0614,-6.84,18.39,5.75,441.12
1026639,Quinsam River Hatchery,BC,50.0161,-125.3039,2.79,17.34,9.43,1618.3
1045100,Merry Island Lightstation,BC,49.4675,-123.9125,5.37,18.18,10.99,1028.78
1035940,Pachena Point,BC,48.7228,-125.0972,5.71,14.16,9.48,2935.8
1054500,Langara,BC,54.2552,-133.058,4.0,12.73,8.02,1967.18
1096630,Quesnel A,BC,53.0261,-122.51,-6.91,16.84,5.48,536.19
1067742,Stewart A,BC,55.9361,-129.985,-3.0,15.12,6.14,1866.75
1123992,Kelowna Pc Burnetts Nursery,BC,49.8742,-119.4835,-0.71,20.68,9.45,344.52
1126510,Princeton A,BC,49.4678,-120.5125,-4.99,17.93,6.55,346.94
1128553,Vernon Bella Vista,BC,50.2642,-119.3101,-2.13,20.48,8.85,428.05
1018935,William Head,BC,48.3397,-123.5386,5.71,16.41,10.45,944.11
1130771,Beaverdell North,BC,49.4783,-119.047,-6.08,15.89,4.98,485.7
1068130,Terrace A,BC,54.4664,-128.5775,-3.04,16.51,6.59,1340.8
1065010,Mcinnes Island,BC,52.2617,-128.7194,4.72,14.22,9.18,2605.84
1163780,Kamloops A,BC,50.7022,-120.4419,-2.75,21.54,9.27,277.63
8502800,Nain A,NL,56.55,-61.6833,-17.57,10.14,-2.46,925.41
1088010,Tatlayoko Lake,BC,51.6747,-124.405,-5.67,13.92,4.29,435.48
1148700,Warfield,BC,49.1,-117.75,-1.76,20.41,8.85,779.01
1160986,Bridge Lake 2,BC,51.5038,-120.7935,-6.51,14.3,3.69,595.5
1060841,Bella Coola A,BC,52.3875,-126.5958,0.22,17.25,8.49,1199.06
1133270,Grand Forks,BC,49.0262,-118.4657,-3.64,19.86,8.02,534.29
6149625,Woodstock,ON,43.1361,-80.7706,-5.77,20.79,7.84,969.04
6068150,Sudbury A,ON,46.6256,-80.7978,-12.98,19.12,4.1,903.27
6149387,Waterloo Wellington A,ON,43.45,-80.3833,-6.47,20.03,7.01,916.48
6143722,Ilderton Bear Creek,ON,43.05,-81.4333,-5.61,21.22,8.23,1023.57
6142400,Fergus Shand Dam,ON,43.7347,-80.3303,-7.36,19.98,6.68,945.67
6142803,Glen Allan,ON,43.6839,-80.7103,-7.2,19.83,6.7,1014.47
6037775,Sioux Lookout A,ON,50.1167,-91.9,-17.35,18.85,2.08,776.74
602K300,Emo Radbourne,ON,48.6833,-93.8333,-16.05,18.39,2.62,769.27
6032119,Dryden A,ON,49.8333,-92.75,-16.79,18.88,2.38,719.72
6059D09,Wawa A,ON,47.9667,-84.7833,-14.0,15.08,2.12,969.69
6016527,Pickle Lake A,ON,51.4464,-90.2142,-19.25,17.67,0.54,728.53
6022476,Fort Frances A,ON,48.65,-93.4333,-15.25,18.92,3.26,726.29
6025203,Mine Centre,ON,48.7667,-92.6167,-15.35,18.63,3.1,762.22
6061850,Coniston Stp,ON,46.4833,-80.85,-13.7,21.08,3.72,870.14
6042716,Geraldton A,ON,49.7828,-86.9306,-18.62,17.16,0.62,764.62
6036904,Rawson Lake,ON,49.65,-93.7167,-15.64,19.36,3.04,704.69
6016975,Red Lake A,ON,51.0669,-93.7931,-18.3,18.12,1.26,686.41
6020559,Barwick,ON,48.6333,-93.9667,-15.3,19.0,3.4,710.22
6042MJ7,Flint,ON,48.35,-89.6833,-14.74,17.37,2.59,760.77
6057592,Sault Ste Marie A,ON,46.4833,-84.5094,-9.93,17.91,4.73,897.68
6034075,Kenora A,ON,49.7903,-94.3653,-15.96,19.66,3.11,714.99
6049466,Whitefish Lake,ON,48.2833,-89.9167,-14.86,17.08,2.26,831.43
6139445,Welland,ON,42.9925,-79.2611,-4.3,21.57,8.75,997.37
6166455,Peterborough Trent U,ON,44.3667,-78.3,-8.37,20.73,6.9,882.09
6165195,Minden,ON,44.9333,-78.7167,-9.74,19.25,5.61,1056.03
6139143,Vineland Rittenhouse,ON,43.1667,-79.4167,-3.67,21.94,9.15,891.57
6139525,Windsor A,ON,42.2756,-82.9556,-3.82,22.99,9.87,934.58
6164433,Lindsay Frost,ON,44.3384,-78.7403,-8.42,20.25,6.6,896.89
6155878,Oshawa Wpcp,ON,43.8667,-78.8333,-4.76,20.55,8.12,871.91
6154142,King Smoke Tree,ON,44.0167,-79.5167,-7.37,20.47,6.96,857.58
61519JM,Cressy,ON,44.1,-76.85,-6.15,21.07,7.89,945.79
6158875,Trenton A,ON,44.1189,-77.5281,-6.83,20.74,7.34,911.41
6153194,Hamilton A,ON,43.1717,-79.9342,-5.5,20.85,7.91,929.81
6155790,Orangeville Moe,ON,43.9184,-80.0864,-7.5,19.35,6.3,901.54
6157012,Richmond Hill,ON,43.8772,-79.4478,-6.21,21.39,7.9,895.15
6158350,Toronto,ON,43.6667,-79.4,-3.74,22.34,9.39,831.11
6152695,Georgetown Wwtp,ON,43.64,-79.8792,-6.32,20.0,7.1,877.36
6158733,Toronto Lester B. Pearson Int'L A,ON,43.6772,-79.6306,-5.49,21.45,8.17,785.85
6151689,Cobourg Stp,ON,43.9667,-78.1833,-5.55,19.89,7.46,890.39
6153853,Janetville,ON,44.2167,-78.6333,-7.66,20.06,6.65,949.01
6155183,Millgrove,ON,43.3167,-79.9667,-5.51,20.77,7.89,1004.47
6106000,Ottawa Macdonald-Cartier Int'L A,ON,45.3225,-75.6692,-10.32,21.03,6.38,943.38
6136606,Port Colborne,ON,42.8833,-79.25,-3.65,21.86,9.15,984.57
6112171,Durham,ON,44.1833,-80.8167,-7.07,19.56,6.58,1118.53
6116702,Powassan,ON,46.1167,-79.25,-12.33,18.7,4.42,949.66
6082178,Dwight,ON,45.3833,-78.9,-11.65,18.09,4.25,1185.59
6119500,Wiarton A,ON,44.7458,-81.1072,-6.27,18.85,6.55,1047.91
6137161,Ridgeville,ON,43.0417,-79.325,-4.39,21.7,8.85,946.2
6111467,Chatsworth,ON,44.395,-80.9056,-6.93,19.14,6.47,1178.0
6104175,Kingston Pumping Station,ON,44.2439,-76.4806,-7.02,21.49,7.83,951.42
6132470,Fort Erie,ON,42.8833,-78.9667,-4.13,21.16,8.61,1051.31
6122370,Exeter,ON,43.35,-81.5,-5.49,20.78,7.87,998.21
6105976,Ottawa Cda,ON,45.3833,-75.7167,-10.16,21.16,6.64,919.51
6137362,St Thomas Wpcp,ON,42.7683,-81.205,-4.66,21.18,8.65,992.99
6111859,Cookstown,ON,44.2067,-79.6947,-7.88,19.65,6.46,826.3
6073960,Kapuskasing Cda,ON,49.4,-82.4333,-18.57,17.23,1.09,838.64
6075425,Moosonee Ua,ON,51.2667,-80.65,-19.98,15.75,-0.45,703.56
6100398,Avonmore,ON,45.17,-74.9708,-10.37,20.23,6.11,998.78
6128206,Tara,ON,44.5195,-81.157,-6.06,19.41,6.86,1293.97
6078285,Timmins Victor Power A,ON,48.5697,-81.3767,-16.84,17.48,1.8,834.59
6110606,Beatrice 2,ON,45.1333,-79.4,-10.68,18.17,4.77,1197.71
6117684,Shanty Bay,ON,44.3995,-79.6328,-7.74,20.11,6.78,967.9
6073975,Kapuskasing A,ON,49.4139,-82.4675,-17.9,17.41,1.28,829.54
6112133,Dunchurch,ON,45.6167,-79.8833,-11.07,18.88,4.87,1118.22
6116132,Owen Sound Moe,ON,44.5833,-80.9333,-5.42,20.05,7.47,1114.37
6126499,Petrolia Town,ON,42.8833,-82.1667,-4.97,21.68,8.78,960.55
6065006,Massey,ON,46.1931,-82.0247,-11.1,18.73,4.7,890.09
6085700,North Bay A,ON,46.3636,-79.4228,-12.54,18.85,4.22,1044.64
6131415,Chatham Wpcp,ON,42.39,-82.2153,-3.58,22.59,9.75,882.32
6101958,Dalhousie Mills,ON,45.3167,-74.4667,-11.09,20.01,5.75,1077.23
6101820,Combermere,ON,45.3667,-77.6167,-11.56,19.43,4.92,856.93
6135583,New Glasgow,ON,42.5145,-81.6361,-4.35,21.18,8.7,952.28
6120819,Blyth,ON,43.7183,-81.3836,-6.97,20.39,7.18,1246.87
6100971,Brockville Pcc,ON,44.6,-75.6667,-7.82,21.15,7.5,986.76
6127514,Sarnia Airport,ON,42.9922,-82.3047,-4.76,21.12,8.34,878.22
6115525,Muskoka A,ON,44.9667,-79.3,-10.27,18.74,5.21,1105.11
6107247,Russell,ON,45.2628,-75.3595,-10.15,20.79,6.45,981.0
6101874,Cornwall,ON,45.0156,-74.7489,-8.49,21.8,7.6,1011.48
6112072,Dorset Moe,ON,45.2167,-78.9333,-10.58,18.61,5.0,1058.37
6072225,Earlton A,ON,47.7,-79.85,-16.22,18.32,2.58,786.26
3031658,Claresholm Waterworks,AB,50.0189,-113.7106,-5.63,17.58,5.62,424.22
3031400,Carway,AB,48.9997,-113.3761,-5.04,15.89,4.55,550.17
3032640,Foremost,AB,49.477,-111.4464,-7.03,18.79,5.89,395.99
3033240,High River,AB,50.4833,-114.1667,-6.49,15.31,4.19,538.63
3031805,Connelly Creek,AB,49.6161,-114.215,-5.32,15.73,4.8,567.78
3031093,Calgary Int'L A,AB,51.1139,-114.0203,-7.09,16.51,4.43,418.82
3032800,Gleichen,AB,50.8833,-113.05,-9.41,17.03,4.22,337.55
3031320,Cardston,AB,49.1317,-113.242,-4.48,16.94,5.58,514.98
6107276,St. Albert,ON,45.2872,-75.0636,-10.16,20.33,5.98,1055.58
6116750,Proton Station,ON,44.1667,-80.5167,-8.29,17.84,5.22,1106.27
6110218,Alliston Nelson,ON,44.1514,-79.8722,-6.47,21.02,7.68,834.37
6102J13,Drummond Centre,ON,45.0322,-76.2528,-9.75,20.25,6.14,876.2
611HBEC,Thornbury Slama,ON,44.5736,-80.4853,-6.28,19.79,7.04,991.85
6105460,Morrisburg,ON,44.9236,-75.1883,-9.58,20.62,6.6,1024.92
6103367,Hartington Ihd,ON,44.4281,-76.6903,-8.34,20.76,6.96,977.67
6134190,Kingsville Moe,ON,42.0431,-82.6739,-3.71,22.54,9.58,900.48
6110557,Barrie Wpcc,ON,44.3758,-79.6897,-7.68,20.79,6.94,932.94
6104725,Lyndhurst Shawmere,ON,44.5167,-76.0833,-8.41,21.0,7.13,971.74
6101335,Chalk River Aecl,ON,46.05,-77.3667,-11.77,20.27,5.57,859.27
6113329,Hanover,ON,44.1164,-81.0058,-6.82,19.63,6.74,1087.12
6135657,Niagara Falls Npcsh,ON,43.1333,-79.05,-4.12,22.22,9.17,947.49
303F0PP,Springbank A,AB,51.1031,-114.3744,-8.18,14.8,3.09,469.63
3035340,Queenstown,AB,50.6064,-112.9833,-7.48,17.86,5.02,416.35
3024920,Olds,AB,51.7833,-114.1,-8.66,15.61,3.52,492.41
3022159,Eckville South,AB,52.2847,-114.3908,-10.12,15.7,3.1,549.56
3025441,Red Deer,AB,52.3108,-113.7922,-10.23,16.81,3.74,486.26
3021940,Craigmyle,AB,51.7667,-112.2833,-11.34,17.3,3.57,411.19
3024150,Madden,AB,51.5042,-114.3239,-7.18,15.58,4.04,476.55
3026259,Sundre Garrington,AB,51.9667,-114.45,-10.05,15.47,3.16,513.28
3034596,Monarch,AB,49.8145,-113.1609,-6.82,17.41,5.29,399.71
3022400,Empress,AB,50.9558,-110.0061,-11.99,19.79,4.84,311.56
3025480,Red Deer A,AB,52.1786,-113.8931,-11.59,15.93,2.75,486.98
3034480,Medicine Hat A,AB,50.0189,-110.7208,-8.41,19.96,6.08,322.64
3050600,Beaver Mines,AB,49.4672,-114.177,-4.67,15.96,4.93,679.75
3044230,Masinasin,AB,49.1267,-111.6542,-6.24,19.7,6.33,407.28
3053600,Kananaskis,AB,51.0275,-115.0347,-6.05,14.48,3.64,639.39
3054845,Nordegg Rs,AB,52.5,-116.05,-9.72,12.77,1.35,603.33
3060321,Athabasca 2,AB,54.8217,-113.5397,-13.35,16.61,2.33,478.71
3053604,Kananaskis Pocaterra,AB,50.7125,-115.12,-9.69,12.06,1.09,568.1
30506GN,Bighorn Dam,AB,52.3167,-116.3333,-7.18,14.19,3.04,503.12
3036240,Suffield A,AB,50.2667,-111.1833,-9.34,19.48,5.43,305.75
3012652,Forestburg Plant Site,AB,52.4675,-112.1203,-10.19,18.35,4.64,398.59
3013961,Lloydminster A,AB,53.3092,-110.0725,-14.25,17.0,2.03,408.78
3012990,Gwynne,AB,52.95,-113.1833,-12.36,16.34,2.79,476.55
3015672,St Lina,AB,54.3,-111.45,-14.39,16.16,1.56,478.62
3014995,Paradise Valley,AB,53.1167,-110.35,-14.21,16.83,2.12,375.75
3012230,Edmonton Woodbend,AB,53.4167,-113.75,-11.08,16.4,3.12,507.95
3012710,Fort Saskatchewan,AB,53.7167,-113.1833,-11.94,17.09,3.22,454.61
3016494,Tofield North,AB,53.55,-112.75,-10.65,16.73,3.29,474.28
3017286,Wetaskiwin South,AB,52.6333,-113.3833,-10.46,17.61,4.05,497.24
3012205,Edmonton Int'L A,AB,53.3167,-113.5833,-12.05,16.2,2.6,446.08
3015405,Ranfurly 2Nw,AB,53.4167,-111.7333,-13.7,17.24,2.75,459.85
301222F,Edmonton Stony Plain,AB,53.5475,-114.1084,-9.94,17.01,3.9,487.79
3012515,Fabyan,AB,52.9667,-111.0,-14.14,17.0,2.15,411.75
