caruid,name,province,dominant_ftype,total_farms,hover_detail,land_area_km2,cropland_ha,cropland_share
4612,"Census Agricultural Region 12, Manitoba",Manitoba,Beef cattle,1145.0,"1,145 farms<br>Beef cattle 35% · Other crop 27% · Oilseed & grain 22% · Other animal 8% · Vegetable & melon 2%",438082.0,236398.0,0.54
4701,"Census Agricultural Region 1, Saskatchewan",Saskatchewan,Oilseed & grain,7291.0,"7,291 farms<br>Oilseed & grain 60% · Beef cattle 21% · Other crop 12% · Other animal 4%",55870.0,3224317.0,57.71
4702,"Census Agricultural Region 2, Saskatchewan",Saskatchewan,Oilseed & grain,4394.0,"4,394 farms<br>Oilseed & grain 60% · Beef cattle 20% · Other crop 13% · Other animal 4%",33899.0,2265506.0,66.83
4703,"Census Agricultural Region 3, Saskatchewan",Saskatchewan,Oilseed & grain,7624.0,"7,624 farms<br>Oilseed & grain 59% · Beef cattle 28% · Other crop 9% · Other animal 3%",80533.0,4296138.0,53.35
4704,"Census Agricultural Region 4, Saskatchewan",Saskatchewan,Oilseed & grain,5902.0,"5,902 farms<br>Oilseed & grain 64% · Beef cattle 19% · Other crop 9% · Other animal 4%",47573.0,3149332.0,66.2
4705,"Census Agricultural Region 5, Saskatchewan",Saskatchewan,Oilseed & grain,2316.0,"2,316 farms<br>Oilseed & grain 67% · Beef cattle 14% · Other crop 10% · Other animal 7%",33676.0,993453.0,29.5
4706,"Census Agricultural Region 6, Saskatchewan",Saskatchewan,Oilseed & grain,6582.0,"6,582 farms<br>Oilseed & grain 54% · Beef cattle 24% · Other crop 13% · Other animal 6%",63229.0,2380111.0,37.64
4707,"Census Agricultural Region 7, Saskatchewan",Saskatchewan,Oilseed & grain,19.0,19 farms<br>Oilseed & grain 47% · Beef cattle 32% · Other crop 11% · Fruit & tree nut 5% · Other animal 5%,262281.0,5358.0,0.02
4810,"Census Agricultural Region 1, Alberta",Alberta,Beef cattle,2543.0,"2,543 farms<br>Beef cattle 45% · Oilseed & grain 36% · Other crop 11% · Other animal 5%",41333.0,1094427.0,26.48
4820,"Census Agricultural Region 2, Alberta",Alberta,Oilseed & grain,5348.0,"5,348 farms<br>Oilseed & grain 44% · Beef cattle 29% · Other crop 12% · Other animal 7% · Vegetable & melon 2%",34108.0,2198202.0,64.45
4830,"Census Agricultural Region 3, Alberta",Alberta,Beef cattle,5880.0,"5,880 farms<br>Beef cattle 41% · Oilseed & grain 23% · Other crop 16% · Other animal 14%",54609.0,1041686.0,19.08
4840,"Census Agricultural Region 4A, Alberta",Alberta,Beef cattle,2911.0,"2,911 farms<br>Beef cattle 41% · Oilseed & grain 39% · Other crop 11% · Other animal 6%",18910.0,918244.0,48.56
4841,"Census Agricultural Region 4B, Alberta",Alberta,Oilseed & grain,4569.0,"4,569 farms<br>Oilseed & grain 50% · Beef cattle 31% · Other crop 9% · Other animal 7%",20134.0,1228304.0,61.01
4850,"Census Agricultural Region 5, Alberta",Alberta,Beef cattle,9024.0,"9,024 farms<br>Beef cattle 36% · Oilseed & grain 25% · Other crop 16% · Other animal 14% · Dairy 2%",44471.0,1259765.0,28.33
4860,"Census Agricultural Region 6, Alberta",Alberta,Beef cattle,6148.0,"6,148 farms<br>Beef cattle 39% · Oilseed & grain 25% · Other crop 22% · Other animal 10%",177101.0,994939.0,5.62
4870,"Census Agricultural Region 7, Alberta",Alberta,Oilseed & grain,5082.0,"5,082 farms<br>Oilseed & grain 41% · Beef cattle 24% · Other crop 22% · Other animal 10%",243993.0,1644890.0,6.74
5901,"Vancouver Island-Coast, British Columbia",British Columbia,Other crop,2158.0,"2,158 farms<br>Other crop 18% · Other animal 16% · Fruit & tree nut 13% · Poultry & egg 12% · Vegetable & melon 12% · Greenhouse & nursery 11%",84052.0,17325.0,0.21
5902,"Lower Mainland-Southwest, British Columbia",British Columbia,Fruit & tree nut,4648.0,"4,648 farms<br>Fruit & tree nut 25% · Poultry & egg 13% · Greenhouse & nursery 13% · Other animal 11% · Other crop 9% · Vegetable & melon 9%",36262.0,64350.0,1.77
5903,"Thompson-Okanagan, British Columbia",British Columbia,Fruit & tree nut,4415.0,"4,415 farms<br>Fruit & tree nut 33% · Other crop 17% · Other animal 15% · Beef cattle 14% · Vegetable & melon 6% · Poultry & egg 5%",94039.0,75369.0,0.8
5904,"Kootenay, British Columbia",British Columbia,Other crop,1017.0,"1,017 farms<br>Other crop 24% · Beef cattle 19% · Other animal 16% · Fruit & tree nut 10% · Vegetable & melon 9% · Greenhouse & nursery 8%",57673.0,21021.0,0.36
5905,"Cariboo, British Columbia",British Columbia,Beef cattle,1357.0,"1,357 farms<br>Beef cattle 31% · Other crop 30% · Other animal 22% · Sheep & goat 5% · Poultry & egg 4% · Greenhouse & nursery 3%",130955.0,52170.0,0.4
5906,"North Coast, British Columbia",British Columbia,Other animal,88.0,88 farms<br>Other animal 24% · Beef cattle 23% · Other crop 19% · Greenhouse & nursery 9% · Vegetable & melon 8% · Poultry & egg 8%,124018.0,975.0,0.01
5907,"Nechako, British Columbia",British Columbia,Other crop,739.0,739 farms<br>Other crop 33% · Beef cattle 31% · Other animal 18% · Sheep & goat 4% · Dairy 3% · Greenhouse & nursery 2%,191612.0,48103.0,0.25
5908,"Peace River, British Columbia",British Columbia,Other crop,1419.0,"1,419 farms<br>Other crop 39% · Beef cattle 21% · Oilseed & grain 17% · Other animal 16% · Sheep & goat 3%",202076.0,277696.0,1.37
6001,,,,,,472345.0,,
6101,,,,,,1127712.0,,
6201,,,,,,1836994.0,,
1201,"Census Agricultural Region 1, Nova Scotia",Nova Scotia,Greenhouse & nursery,396.0,396 farms<br>Greenhouse & nursery 31% · Beef cattle 18% · Other animal 13% · Other crop 10% · Fruit & tree nut 9% · Poultry & egg 8%,12396.0,4857.0,0.39
1202,"Census Agricultural Region 2, Nova Scotia",Nova Scotia,Fruit & tree nut,886.0,886 farms<br>Fruit & tree nut 17% · Beef cattle 17% · Other crop 13% · Poultry & egg 11% · Other animal 9% · Dairy 9%,8353.0,41091.0,4.92
1203,"Census Agricultural Region 3, Nova Scotia",Nova Scotia,Fruit & tree nut,879.0,879 farms<br>Fruit & tree nut 37% · Beef cattle 17% · Other crop 15% · Other animal 10% · Dairy 6% · Greenhouse & nursery 6%,13381.0,35420.0,2.65
1204,"Census Agricultural Region 4, Nova Scotia",Nova Scotia,Beef cattle,395.0,395 farms<br>Beef cattle 25% · Fruit & tree nut 22% · Other crop 16% · Greenhouse & nursery 15% · Other animal 9% · Dairy 9%,8338.0,13587.0,1.63
1205,"Census Agricultural Region 5, Nova Scotia",Nova Scotia,Beef cattle,185.0,185 farms<br>Beef cattle 31% · Other animal 14% · Other crop 13% · Greenhouse & nursery 12% · Fruit & tree nut 10% · Dairy 9%,10357.0,5018.0,0.48
1301,"Census Agricultural Region 1, New Brunswick",New Brunswick,Other crop,625.0,625 farms<br>Other crop 25% · Beef cattle 20% · Vegetable & melon 19% · Greenhouse & nursery 9% · Dairy 7% · Fruit & tree nut 6%,20352.0,67101.0,3.3
1302,"Census Agricultural Region 2, New Brunswick",New Brunswick,Beef cattle,468.0,468 farms<br>Beef cattle 21% · Other crop 18% · Dairy 16% · Fruit & tree nut 15% · Other animal 11% · Greenhouse & nursery 6%,14736.0,23110.0,1.57
1303,"Census Agricultural Region 3, New Brunswick",New Brunswick,Beef cattle,445.0,445 farms<br>Beef cattle 23% · Fruit & tree nut 20% · Other crop 20% · Other animal 9% · Dairy 8% · Vegetable & melon 6%,10016.0,23271.0,2.32
1304,"Census Agricultural Region 4, New Brunswick",New Brunswick,Fruit & tree nut,313.0,313 farms<br>Fruit & tree nut 38% · Other crop 31% · Greenhouse & nursery 7% · Beef cattle 6% · Other animal 6% · Vegetable & melon 4%,26145.0,16728.0,0.64
2401,"Bas-Saint-Laurent, Quebec",Quebec,Other crop,2017.0,"2,017 farms<br>Other crop 40% · Dairy 26% · Beef cattle 8% · Oilseed & grain 6% · Other animal 5% · Sheep & goat 5%",22188.0,159109.0,7.17
2402,"Saguenay--Lac-Saint-Jean--Côte-Nord, Quebec",Quebec,Fruit & tree nut,1329.0,"1,329 farms<br>Fruit & tree nut 30% · Dairy 18% · Other crop 18% · Oilseed & grain 10% · Beef cattle 8% · Other animal 7%",329985.0,130995.0,0.4
2403,"Québec, Quebec",Quebec,Other crop,1126.0,"1,126 farms<br>Other crop 32% · Dairy 10% · Other animal 10% · Oilseed & grain 9% · Fruit & tree nut 9% · Vegetable & melon 8%",18685.0,54053.0,2.89
2404,"Mauricie, Quebec",Quebec,Oilseed & grain,1000.0,"1,000 farms<br>Oilseed & grain 28% · Other crop 22% · Dairy 18% · Other animal 7% · Beef cattle 5% · Poultry & egg 4%",35476.0,82207.0,2.32
2405,"Estrie, Quebec",Quebec,Other crop,3009.0,"3,009 farms<br>Other crop 41% · Dairy 15% · Beef cattle 11% · Other animal 7% · Greenhouse & nursery 7% · Oilseed & grain 6%",10198.0,118447.0,11.61
2406,"Montréal--Laval, Quebec",Quebec,Greenhouse & nursery,155.0,155 farms<br>Greenhouse & nursery 35% · Vegetable & melon 17% · Oilseed & grain 12% · Other crop 12% · Other animal 11% · Fruit & tree nut 6%,744.0,4231.0,5.69
2407,"Lanaudière, Quebec",Quebec,Oilseed & grain,1539.0,"1,539 farms<br>Oilseed & grain 25% · Other crop 17% · Vegetable & melon 12% · Dairy 11% · Poultry & egg 10% · Other animal 8%",12301.0,114780.0,9.33
2408,"Outaouais, Quebec",Quebec,Beef cattle,955.0,955 farms<br>Beef cattle 28% · Other crop 27% · Other animal 12% · Oilseed & grain 10% · Dairy 5% · Greenhouse & nursery 5%,30458.0,54535.0,1.79
2409,"Laurentides, Quebec",Quebec,Other crop,1265.0,"1,265 farms<br>Other crop 25% · Oilseed & grain 14% · Dairy 11% · Fruit & tree nut 10% · Greenhouse & nursery 10% · Other animal 9%",20557.0,64742.0,3.15
2410,"Abitibi-Témiscamingue--Nord-du-Québec, Quebec",Quebec,Other crop,588.0,588 farms<br>Other crop 34% · Beef cattle 20% · Dairy 15% · Oilseed & grain 14% · Other animal 6% · Greenhouse & nursery 3%,764632.0,73660.0,0.1
2411,"Gaspésie--Îles-de-la-Madeleine, Quebec",Quebec,Other crop,224.0,224 farms<br>Other crop 29% · Beef cattle 18% · Other animal 10% · Vegetable & melon 10% · Fruit & tree nut 10% · Greenhouse & nursery 7%,20271.0,13079.0,0.65
2412,"Chaudière-Appalaches, Quebec",Quebec,Other crop,6090.0,"6,090 farms<br>Other crop 50% · Dairy 16% · Beef cattle 8% · Oilseed & grain 7% · Hog & pig 6% · Other animal 4%",15072.0,218344.0,14.49
2413,"Montérégie, Quebec",Quebec,Oilseed & grain,6762.0,"6,762 farms<br>Oilseed & grain 36% · Other crop 14% · Dairy 12% · Vegetable & melon 7% · Hog & pig 6% · Beef cattle 5%",11112.0,548674.0,49.38
2414,"Centre-du-Québec, Quebec",Quebec,Other crop,3321.0,"3,321 farms<br>Other crop 28% · Oilseed & grain 21% · Dairy 19% · Beef cattle 7% · Hog & pig 6% · Other animal 5%",6921.0,233719.0,33.77
3501,"Southern Ontario Region, Ontario",Ontario,Oilseed & grain,17031.0,"17,031 farms<br>Oilseed & grain 55% · Beef cattle 7% · Other crop 6% · Other animal 6% · Greenhouse & nursery 5% · Poultry & egg 5%",21492.0,1386554.0,64.51
3502,"Western Ontario Region, Ontario",Ontario,Oilseed & grain,16483.0,"16,483 farms<br>Oilseed & grain 33% · Beef cattle 20% · Other animal 10% · Other crop 9% · Dairy 8% · Poultry & egg 6%",26745.0,1191184.0,44.54
3503,"Central Ontario Region, Ontario",Ontario,Beef cattle,6330.0,"6,330 farms<br>Beef cattle 25% · Oilseed & grain 21% · Other crop 18% · Other animal 14% · Dairy 5% · Greenhouse & nursery 4%",37660.0,394195.0,10.47
3504,"Eastern Ontario Region, Ontario",Ontario,Oilseed & grain,6720.0,"6,720 farms<br>Oilseed & grain 29% · Beef cattle 20% · Other crop 18% · Dairy 11% · Other animal 11% · Sheep & goat 3%",28320.0,552043.0,19.49
3505,"Northern Ontario Region, Ontario",Ontario,Beef cattle,1782.0,"1,782 farms<br>Beef cattle 33% · Other crop 26% · Other animal 13% · Oilseed & grain 8% · Dairy 5% · Greenhouse & nursery 5%",778195.0,138838.0,0.18
4601,"Census Agricultural Region 1, Manitoba",Manitoba,Oilseed & grain,1167.0,"1,167 farms<br>Oilseed & grain 55% · Beef cattle 29% · Other crop 9% · Other animal 4%",8282.0,525736.0,63.48
4602,"Census Agricultural Region 2, Manitoba",Manitoba,Oilseed & grain,1684.0,"1,684 farms<br>Oilseed & grain 43% · Beef cattle 30% · Other crop 12% · Other animal 9% · Vegetable & melon 2%",10357.0,574374.0,55.46
4603,"Census Agricultural Region 3, Manitoba",Manitoba,Oilseed & grain,1321.0,"1,321 farms<br>Oilseed & grain 49% · Beef cattle 24% · Other crop 16% · Other animal 6%",8745.0,447514.0,51.17
