country_code,year,unemployment_rate,country_name
DEU,2006,10.275,Germany
DEU,2007,8.5416666667,Germany
DEU,2008,7.425,Germany
DEU,2009,7.3416666667,Germany
DEU,2010,6.575,Germany
DEU,2011,5.525,Germany
DEU,2012,5.0833333333,Germany
DEU,2013,4.9416666667,Germany
DEU,2014,4.7083333333,Germany
DEU,2015,4.3583333333,Germany
DEU,2016,3.9,Germany
DEU,2017,3.525,Germany
DEU,2018,3.1916666667,Germany
DEU,2019,2.95,Germany
DEU,2020,3.625,Germany
DEU,2021,3.6,Germany
DEU,2022,3.1416666666,Germany
DEU,2023,3.0833333333,Germany
DEU,2024,3.3916666666,Germany
DEU,2025,3.7666666666,Germany
DNK,2000,4.325,Denmark
DNK,2001,4.525,Denmark
DNK,2002,4.5833333333,Denmark
DNK,2003,5.4083333333,Denmark
DNK,2004,5.5,Denmark
DNK,2005,4.8416666667,Denmark
DNK,2006,3.9083333333,Denmark
DNK,2007,3.75,Denmark
DNK,2008,3.6833333333,Denmark
DNK,2009,6.4083333333,Denmark
DNK,2010,7.75,Denmark
DNK,2011,7.7583333333,Denmark
DNK,2012,7.7833333333,Denmark
DNK,2013,7.375,Denmark
DNK,2014,6.925,Denmark
DNK,2015,6.2666666667,Denmark
DNK,2016,5.9833333334,Denmark
DNK,2017,5.8166666666,Denmark
DNK,2018,5.15,Denmark
DNK,2019,5.025,Denmark
DNK,2020,5.625,Denmark
DNK,2021,5.1083333334,Denmark
DNK,2022,4.475,Denmark
DNK,2023,5.1083333334,Denmark
DNK,2024,6.1916666667,Denmark
DNK,2025,6.3583333334,Denmark
FIN,2000,9.7833333333,Finland
FIN,2001,9.125,Finland
FIN,2002,9.075,Finland
FIN,2003,9.0083333334,Finland
FIN,2004,8.825,Finland
FIN,2005,8.4,Finland
FIN,2006,7.7166666667,Finland
FIN,2007,6.8666666667,Finland
FIN,2008,6.3666666667,Finland
FIN,2009,8.3666666667,Finland
FIN,2010,8.5416666667,Finland
FIN,2011,7.9666666667,Finland
FIN,2012,7.8083333334,Finland
FIN,2013,8.3,Finland
FIN,2014,8.75,Finland
FIN,2015,9.4583333333,Finland
FIN,2016,8.9166666667,Finland
FIN,2017,8.7666666667,Finland
FIN,2018,7.4333333333,Finland
FIN,2019,6.7416666667,Finland
FIN,2020,7.725,Finland
FIN,2021,7.675,Finland
FIN,2022,6.7666666667,Finland
FIN,2023,7.2166666667,Finland
FIN,2024,8.3833333333,Finland
FIN,2025,9.6833333333,Finland
FRA,2000,9.5583333333,France
FRA,2001,8.7416666667,France
FRA,2002,8.6333333333,France
FRA,2003,8.5083333334,France
FRA,2004,8.875,France
FRA,2005,8.8916666667,France
FRA,2006,8.85,France
FRA,2007,8.025,France
FRA,2008,7.4416666667,France
FRA,2009,9.125,France
FRA,2010,9.2833333333,France
FRA,2011,9.2,France
FRA,2012,9.7583333333,France
FRA,2013,10.3,France
FRA,2014,10.2666666667,France
FRA,2015,10.3583333334,France
FRA,2016,10.0583333333,France
FRA,2017,9.4166666667,France
FRA,2018,9.0166666667,France
FRA,2019,8.4416666667,France
FRA,2020,8.0333333333,France
FRA,2021,7.875,France
FRA,2022,7.3166666667,France
FRA,2023,7.35,France
FRA,2024,7.4583333333,France
FRA,2025,7.725,France
GBR,2000,5.45,United Kingdom
GBR,2001,5.075,United Kingdom
GBR,2002,5.175,United Kingdom
GBR,2003,5.025,United Kingdom
GBR,2004,4.75,United Kingdom
GBR,2005,4.8,United Kingdom
GBR,2006,5.425,United Kingdom
GBR,2007,5.325,United Kingdom
GBR,2008,5.7,United Kingdom
GBR,2009,7.625,United Kingdom
GBR,2010,7.875,United Kingdom
GBR,2011,8.125,United Kingdom
GBR,2012,7.975,United Kingdom
GBR,2013,7.6,United Kingdom
GBR,2014,6.175,United Kingdom
GBR,2015,5.35,United Kingdom
GBR,2016,4.9,United Kingdom
GBR,2017,4.425,United Kingdom
GBR,2018,4.1,United Kingdom
GBR,2019,3.825,United Kingdom
GBR,2020,4.6,United Kingdom
GBR,2021,4.55,United Kingdom
GBR,2022,3.8,United Kingdom
GBR,2023,4.05,United Kingdom
GBR,2024,4.275,United Kingdom
GBR,2025,4.825,United Kingdom
ISR,2000,8.7706056477,Israel
ISR,2001,9.3481338913,Israel
ISR,2002,10.2984392728,Israel
ISR,2003,10.7126573193,Israel
ISR,2004,10.367712869,Israel
ISR,2005,8.9899031995,Israel
ISR,2006,8.4038374768,Israel
ISR,2007,7.3185580408,Israel
ISR,2008,6.0991404415,Israel
ISR,2009,7.5440865165,Israel
ISR,2010,6.6365947842,Israel
ISR,2011,5.6023763075,Israel
ISR,2012,6.85,Israel
ISR,2013,6.2083333333,Israel
ISR,2014,5.9083333333,Israel
ISR,2015,5.2416666667,Israel
ISR,2016,4.8083333333,Israel
ISR,2017,4.2166666667,Israel
ISR,2018,4.0,Israel
ISR,2019,3.8,Israel
ISR,2020,4.325,Israel
ISR,2021,4.9583333333,Israel
ISR,2022,3.7666666666,Israel
ISR,2023,3.4166666667,Israel
ISR,2024,2.9666666667,Israel
ISR,2025,3.0,Israel
ITA,2000,10.05,Italy
ITA,2001,9.0083333333,Italy
ITA,2002,8.475,Italy
ITA,2003,8.4333333333,Italy
ITA,2004,8.05,Italy
ITA,2005,7.7833333333,Italy
ITA,2006,6.8666666666,Italy
ITA,2007,6.15,Italy
ITA,2008,6.775,Italy
ITA,2009,7.875,Italy
ITA,2010,8.5416666667,Italy
ITA,2011,8.5083333333,Italy
ITA,2012,10.8833333333,Italy
ITA,2013,12.3666666667,Italy
ITA,2014,12.825,Italy
ITA,2015,12.0,Italy
ITA,2016,11.75,Italy
ITA,2017,11.2583333333,Italy
ITA,2018,10.6,Italy
ITA,2019,9.9333333333,Italy
ITA,2020,9.3,Italy
ITA,2021,9.5583333333,Italy
ITA,2022,8.075,Italy
ITA,2023,7.6666666667,Italy
ITA,2024,6.5166666667,Italy
ITA,2025,6.125,Italy
JPN,2000,4.7166666667,Japan
JPN,2001,5.0333333333,Japan
JPN,2002,5.375,Japan
JPN,2003,5.2583333334,Japan
JPN,2004,4.7166666667,Japan
JPN,2005,4.425,Japan
JPN,2006,4.1416666667,Japan
JPN,2007,3.8416666667,Japan
JPN,2008,3.9916666666,Japan
JPN,2009,5.0666666666,Japan
JPN,2010,5.05,Japan
JPN,2011,4.5833333333,Japan
JPN,2012,4.35,Japan
JPN,2013,4.025,Japan
JPN,2014,3.5916666667,Japan
JPN,2015,3.375,Japan
JPN,2016,3.1166666667,Japan
JPN,2017,2.8083333333,Japan
JPN,2018,2.4416666667,Japan
JPN,2019,2.35,Japan
JPN,2020,2.775,Japan
JPN,2021,2.8166666667,Japan
JPN,2022,2.6,Japan
JPN,2023,2.5666666667,Japan
JPN,2024,2.55,Japan
JPN,2025,2.5083333333,Japan
KOR,2000,4.425,South Korea
KOR,2001,4.0,South Korea
KOR,2002,3.2583333333,South Korea
KOR,2003,3.55,South Korea
KOR,2004,3.6583333333,South Korea
KOR,2005,3.75,South Korea
KOR,2006,3.475,South Korea
KOR,2007,3.2583333333,South Korea
KOR,2008,3.175,South Korea
KOR,2009,3.6333333333,South Korea
KOR,2010,3.7083333334,South Korea
KOR,2011,3.4083333333,South Korea
KOR,2012,3.225,South Korea
KOR,2013,3.1,South Korea
KOR,2014,3.4916666667,South Korea
KOR,2015,3.5916666667,South Korea
KOR,2016,3.675,South Korea
KOR,2017,3.6833333333,South Korea
KOR,2018,3.8333333334,South Korea
KOR,2019,3.7833333333,South Korea
KOR,2020,3.9416666667,South Korea
KOR,2021,3.675,South Korea
KOR,2022,2.8833333334,South Korea
KOR,2023,2.7083333333,South Korea
KOR,2024,2.8,South Korea
KOR,2025,2.7916666666,South Korea
NLD,2000,3.6666666667,Netherlands
NLD,2001,3.075,Netherlands
NLD,2002,3.6666666667,Netherlands
NLD,2003,5.9083333333,Netherlands
NLD,2004,6.775,Netherlands
NLD,2005,6.9583333333,Netherlands
NLD,2006,6.0833333333,Netherlands
NLD,2007,5.3083333334,Netherlands
NLD,2008,4.7583333333,Netherlands
NLD,2009,5.425,Netherlands
NLD,2010,6.0666666667,Netherlands
NLD,2011,6.05,Netherlands
NLD,2012,6.8166666667,Netherlands
NLD,2013,8.1916666667,Netherlands
NLD,2014,8.35,Netherlands
NLD,2015,7.8916666667,Netherlands
NLD,2016,7.0,Netherlands
NLD,2017,5.875,Netherlands
NLD,2018,4.8666666666,Netherlands
NLD,2019,4.4333333333,Netherlands
NLD,2020,4.85,Netherlands
NLD,2021,4.225,Netherlands
NLD,2022,3.5416666667,Netherlands
NLD,2023,3.5416666666,Netherlands
NLD,2024,3.6666666667,Netherlands
NLD,2025,3.8833333334,Netherlands
NOR,2000,3.2416666667,Norway
NOR,2001,3.4083333333,Norway
NOR,2002,3.6666666666,Norway
NOR,2003,4.2083333333,Norway
NOR,2004,4.275,Norway
NOR,2005,4.525,Norway
NOR,2006,3.6,Norway
NOR,2007,2.7166666667,Norway
NOR,2008,2.9333333333,Norway
NOR,2009,3.4583333333,Norway
NOR,2010,3.9583333334,Norway
NOR,2011,3.5666666667,Norway
NOR,2012,3.4833333333,Norway
NOR,2013,3.9333333333,Norway
NOR,2014,3.775,Norway
NOR,2015,4.6916666667,Norway
NOR,2016,4.9083333333,Norway
NOR,2017,4.3666666667,Norway
NOR,2018,3.9916666667,Norway
NOR,2019,3.875,Norway
NOR,2020,4.75,Norway
NOR,2021,4.4583333333,Norway
NOR,2022,3.2333333333,Norway
NOR,2023,3.5833333333,Norway
NOR,2024,4.025,Norway
NOR,2025,4.5083333333,Norway
NZL,2000,6.15,New Zealand
NZL,2001,5.45,New Zealand
NZL,2002,5.3,New Zealand
NZL,2003,4.775,New Zealand
NZL,2004,4.025,New Zealand
NZL,2005,3.825,New Zealand
NZL,2006,3.85,New Zealand
NZL,2007,3.575,New Zealand
NZL,2008,4.025,New Zealand
NZL,2009,5.875,New Zealand
NZL,2010,6.225,New Zealand
NZL,2011,6.025,New Zealand
NZL,2012,6.475,New Zealand
NZL,2013,5.85,New Zealand
NZL,2014,5.425,New Zealand
NZL,2015,5.4,New Zealand
NZL,2016,5.125,New Zealand
NZL,2017,4.725,New Zealand
NZL,2018,4.325,New Zealand
NZL,2019,4.1,New Zealand
NZL,2020,4.6,New Zealand
NZL,2021,3.8,New Zealand
NZL,2022,3.325,New Zealand
NZL,2023,3.775,New Zealand
NZL,2024,4.75,New Zealand
NZL,2025,5.275,New Zealand
SWE,2000,5.6,Sweden
SWE,2001,5.9666666667,Sweden
SWE,2002,6.0833333333,Sweden
SWE,2003,6.6916666666,Sweden
SWE,2004,7.5166666667,Sweden
SWE,2005,7.9083333333,Sweden
SWE,2006,7.1666666667,Sweden
SWE,2007,6.2416666666,Sweden
SWE,2008,6.275,Sweden
SWE,2009,8.4166666667,Sweden
SWE,2010,8.7,Sweden
SWE,2011,7.875,Sweden
SWE,2012,8.0666666667,Sweden
SWE,2013,8.1083333333,Sweden
SWE,2014,8.0416666667,Sweden
SWE,2015,7.5166666667,Sweden
SWE,2016,7.0583333333,Sweden
SWE,2017,6.7833333333,Sweden
SWE,2018,6.4333333333,Sweden
SWE,2019,6.9083333333,Sweden
SWE,2020,8.4833333333,Sweden
SWE,2021,8.8916666667,Sweden
SWE,2022,7.4833333333,Sweden
SWE,2023,7.6666666667,Sweden
SWE,2024,8.35,Sweden
SWE,2025,8.8666666666,Sweden
USA,2000,3.9916666667,United States
USA,2001,4.7333333333,United States
USA,2002,5.775,United States
USA,2003,5.9916666667,United States
USA,2004,5.5333333333,United States
USA,2005,5.0666666667,United States
USA,2006,4.6166666667,United States
USA,2007,4.6166666667,United States
USA,2008,5.775,United States
USA,2009,9.2666666667,United States
USA,2010,9.6166666667,United States
USA,2011,8.95,United States
USA,2012,8.0666666667,United States
USA,2013,7.375,United States
USA,2014,6.1666666667,United States
USA,2015,5.2916666667,United States
USA,2016,4.8666666667,United States
USA,2017,4.35,United States
USA,2018,3.9,United States
USA,2019,3.6666666667,United States
USA,2020,8.0916666667,United States
USA,2021,5.3666666667,United States
USA,2022,3.65,United States
USA,2023,3.6333333333,United States
USA,2024,4.0166666667,United States
USA,2025,4.29090909090909,United States
