country_code,year,employment_rate,country_name
KOR,2014,65.56622,South Korea
KOR,2015,65.90981,South Korea
KOR,2016,66.07566,South Korea
KOR,2017,66.62926,South Korea
KOR,2018,66.61324,South Korea
KOR,2019,66.82268,South Korea
KOR,2020,65.86022,South Korea
KOR,2021,66.52686,South Korea
KOR,2022,68.51241,South Korea
KOR,2023,69.22884,South Korea
KOR,2024,69.5437,South Korea
KOR,2025,69.8482,South Korea
NLD,2005,70.625,Netherlands
NLD,2006,71.575,Netherlands
NLD,2007,73.45,Netherlands
NLD,2008,74.925,Netherlands
NLD,2009,76.175,Netherlands
NLD,2010,75.45,Netherlands
NLD,2011,75.7,Netherlands
NLD,2012,75.9,Netherlands
NLD,2013,75.1,Netherlands
NLD,2014,74.65,Netherlands
NLD,2015,75.65,Netherlands
NLD,2016,76.375,Netherlands
NLD,2017,77.375,Netherlands
NLD,2018,78.7,Netherlands
NLD,2019,79.7,Netherlands
NLD,2020,79.3,Netherlands
NLD,2021,80.15,Netherlands
NLD,2022,81.775,Netherlands
NLD,2023,82.425,Netherlands
NLD,2024,82.325,Netherlands
NLD,2025,82.3,Netherlands
NOR,2005,74.825,Norway
NOR,2006,75.375,Norway
NOR,2007,76.825,Norway
NOR,2008,77.95,Norway
NOR,2009,76.85,Norway
NOR,2010,75.8,Norway
NOR,2011,76.175,Norway
NOR,2012,76.35,Norway
NOR,2013,76.05,Norway
NOR,2014,75.775,Norway
NOR,2015,75.4,Norway
NOR,2016,75.1,Norway
NOR,2017,74.925,Norway
NOR,2018,75.7,Norway
NOR,2019,76.175,Norway
NOR,2020,75.625,Norway
NOR,2021,76.3,Norway
NOR,2022,77.725,Norway
NOR,2023,77.4,Norway
NOR,2024,77.075,Norway
NOR,2025,76.625,Norway
NZL,2005,74.21869,New Zealand
NZL,2006,74.76456,New Zealand
NZL,2007,75.10442,New Zealand
NZL,2008,74.55002,New Zealand
NZL,2009,72.72729,New Zealand
NZL,2010,72.10973,New Zealand
NZL,2011,72.40391,New Zealand
NZL,2012,71.85777,New Zealand
NZL,2013,72.72184,New Zealand
NZL,2014,74.17313,New Zealand
NZL,2015,74.24967,New Zealand
NZL,2016,75.57751,New Zealand
NZL,2017,76.91602,New Zealand
NZL,2018,77.49399,New Zealand
NZL,2019,77.45027,New Zealand
NZL,2020,76.75866,New Zealand
NZL,2021,78.27825,New Zealand
NZL,2022,79.58669,New Zealand
NZL,2023,79.96558,New Zealand
NZL,2024,78.45765,New Zealand
NZL,2025,77.23849,New Zealand
SWE,2005,72.1,Sweden
SWE,2006,72.725,Sweden
SWE,2007,73.825,Sweden
SWE,2008,73.975,Sweden
SWE,2009,71.85,Sweden
SWE,2010,71.775,Sweden
SWE,2011,73.25,Sweden
SWE,2012,73.45,Sweden
SWE,2013,74.125,Sweden
SWE,2014,74.55,Sweden
SWE,2015,75.2,Sweden
SWE,2016,75.875,Sweden
SWE,2017,76.525,Sweden
SWE,2018,77.0,Sweden
SWE,2019,76.75,Sweden
SWE,2020,74.95,Sweden
SWE,2021,75.1,Sweden
SWE,2022,76.975,Sweden
SWE,2023,77.4,Sweden
SWE,2024,76.675,Sweden
SWE,2025,76.425,Sweden
USA,2005,71.53017,United States
USA,2006,71.99708,United States
USA,2007,71.78132,United States
USA,2008,70.88825,United States
USA,2009,67.62595,United States
USA,2010,66.68977,United States
USA,2011,66.64754,United States
USA,2012,67.13661,United States
USA,2013,67.35994,United States
USA,2014,68.14875,United States
USA,2015,68.70962,United States
USA,2016,69.35136,United States
USA,2017,70.11017,United States
USA,2018,70.72614,United States
USA,2019,71.35841,United States
USA,2020,67.06998,United States
USA,2021,69.40365,United States
USA,2022,71.27018,United States
USA,2023,71.95479,United States
USA,2024,71.86034,United States
